startphrase,ending1,ending2,labels
ಆ ಹಣ್ಣು ಹಲಸಿನಂತೆ ಬಹಳ ಅಪರೂಪ,ಆ ಹಣ್ಣು ಬಹಳ ಅಪರೂಪ,ಆ ಹಣ್ಣು ಬಹಳ ಅಪರೂಪವಲ್ಲ,0
ಆ ಹಣ್ಣು ಕಿತ್ತಳೆಯಂತೆ ಬಹಳ ಅಪರೂಪ,ಆ ಹಣ್ಣು ಬಹಳ ಅಪರೂಪ,ಆ ಹಣ್ಣು ಬಹಳ ಅಪರೂಪವಲ್ಲ,1
ಆ ವಿಷಯವು ಗಣಿತದಂತೆ ಜಟಿಲವಾಗಿದೆ,ಆ ವಿಷಯವು ಜಟಿಲವಾಗಿದೆ,ಆ ವಿಷಯವು ಜಟಿಲವಾಗಿದೆ,0
ಆ ವಿಷಯವು ಪದ್ಯದಂತೆ ಜಟಿಲವಾಗಿದೆ,ಆ ವಿಷಯವು ಜಟಿಲವಾಗಿದೆ,ಆ ವಿಷಯವು ಜಟಿಲವಾಗಿದೆ,1
ಈ ಹಾಲು ತಾಯಿಯ ಹಾಲಿನಷ್ಟು  ಪೌಷ್ಟಿಕತೆ ಹೊಂದಿದೆ,ಈ ಹಾಲು ಹೆಚ್ಚು ಪೌಷ್ಟಿಕತೆ ಹೊಂದಿದೆ,ಈ ಹಾಲು ಹೆಚ್ಚು ಪೌಷ್ಟಿಕತೆ ಹೊಂದಿಲ್ಲ,0
ಈ ಹಾಲು ಫಾರ್ಮುಲಾ ಹಾಲಿನಷ್ಟು ಪೌಷ್ಟಿಕತೆ ಹೊಂದಿದೆ,ಈ ಹಾಲು ಹೆಚ್ಚು ಪೌಷ್ಟಿಕತೆ ಹೊಂದಿದೆ,ಈ ಹಾಲು ಹೆಚ್ಚು ಪೌಷ್ಟಿಕತೆ ಹೊಂದಿಲ್ಲ,1
ಅದು ಮೋಡದಂತೆ ತಟಸ್ತವಾಗಿದೆ,ಅದು ತಟಸ್ತವಾಗಿದೆ,ಅದು ತಟಸ್ತವಾಗಿಲ್ಲ,0
ಅದು ಬಂಡೆಯಂತೆ ತಟಸ್ತವಾಗಿದೆ,ಅದು ತಟಸ್ತವಾಗಿದೆ,ಅದು ತಟಸ್ತವಾಗಿಲ್ಲ,1
ಆ ಕಟ್ಟಡವು ತಾಜ್ ಮಹಲ್ನಂತೆ ಸುಂದರವಾಗಿದೆ,ಆ ಕಟ್ಟಡವು ಸುಂದರವಾಗಿದೆ,ಆ ಕಟ್ಟಡವು ಸುಂದರವಾಗಿಲ್ಲ,0
ಆ ಕಟ್ಟಡವು ಕೆಡವಿದ ಅರಮನೆಯಂತೆ ಸುಂದರವಾಗಿದೆ,ಆ ಕಟ್ಟಡವು ಸುಂದರವಾಗಿದೆ,ಆ ಕಟ್ಟಡವು ಸುಂದರವಾಗಿಲ್ಲ,1
ಅವನು ಆನೆಯಂತೆ ದೊಡ್ಡದಾಗಿದ್ದಾನೆ,ಅವನು ದೊಡ್ಡದಾಗಿದ್ದಾನೆ,ಅವನು ದೊಡ್ಡದಾಗಿಲ್ಲ,0
ಅವನು ಇರುವೆಯಂತೆ ದೊಡ್ಡದಾಗಿದ್ದಾನೆ,ಅವನು ದೊಡ್ಡದಾಗಿದ್ದಾನೆ,ಅವನು ದೊಡ್ಡದಾಗಿಲ್ಲ,1
ಆಕೆ ದೇವತೆಯಂತೆ ಪೂಜ್ಯನೀಯವಾಗಿರುವಳು,ಆಕೆ ಪೂಜ್ಯನೀಯವಾಗಿರುವಳು,ಆಕೆ ಪೂಜ್ಯನೀಯವಾಗಿಲ್ಲ,0
ಆಕೆ ದೆವ್ವದಂತೆ ಪೂಜ್ಯನೀಯವಾಗಿರುವಳು,ಆಕೆ ಪೂಜ್ಯನೀಯವಾಗಿರುವಳು,ಆಕೆ ಪೂಜ್ಯನೀಯವಾಗಿಲ್ಲ,1
ಆ ಕಟ್ಟಡವು ಬಂಗಲೆಯಂತೆ ಐಷಾರಾಮಿಯಾಗಿದೆ,ಆ ಕಟ್ಟಡವು ಐಷಾರಾಮಿಯಾಗಿದೆ,ಆ ಕಟ್ಟಡವು ಐಷಾರಾಮಿಯಾಗಿಲ್ಲ,0
ಆ ಕಟ್ಟಡವು ಗುಡಿಸಲಿನಂತೆ ಐಷಾರಾಮಿಯಾಗಿದೆ,ಆ ಕಟ್ಟಡವು ಐಷಾರಾಮಿಯಾಗಿದೆ,ಆ ಕಟ್ಟಡವು ಐಷಾರಾಮಿಯಾಗಿಲ್ಲ,1
ಆತನ ಬದ್ಧತೆ ಕಬ್ಬಿಣದಂತೆ ಗಟ್ಟಿಯಿತ್ತು,ಆತನ ಬದ್ಧತೆ ಗಟ್ಟಿಯಿತ್ತು,ಆತನ ಬದ್ಧತೆ ಗಟ್ಟಿಯಿಲ್ಲ,0
ಆತನ ಬದ್ಧತೆ ಗ್ಲಾಸ್ ನಂತೆ ಗಟ್ಟಿಯಿತ್ತು,ಆತನ ಬದ್ಧತೆ ಗಟ್ಟಿಯಿತ್ತು,ಆತನ ಬದ್ಧತೆ ಗಟ್ಟಿಯಿಲ್ಲ,1
ಅವನು ಸಿಂಹದಂತೆ ಧೈರ್ಯಶಾಲಿಯಾಗಿದ್ದಾನೆ,ಅವನು ಧೈರ್ಯಶಾಲಿ,ಅವನು ಧೈರ್ಯಶಾಲಿ,0
ಅವನು ನರಿಯಂತೆ ಧೈರ್ಯಶಾಲಿಯಾಗಿದ್ದಾನೆ,ಅವನು ಧೈರ್ಯಶಾಲಿ,ಅವನು ಧೈರ್ಯಶಾಲಿ,1
ಆ ಸಂಭ್ರಮವು ಗೆಲುವಿನಂತೆ ಮಜವಾಗಿತ್ತು,ಆ ಸಂಭ್ರಮವು ಮಜವಾಗಿತ್ತು,ಆ ಸಂಭ್ರಮವು ಮಜವಾಗಿರಲಿಲ್ಲ,0
ಆ ಸಂಭ್ರಮವು ಸೋಲಿನಂತೆ ಮಜವಾಗಿತ್ತು,ಆ ಸಂಭ್ರಮವು ಮಜವಾಗಿತ್ತು,ಆ ಸಂಭ್ರಮವು ಮಜವಾಗಿರಲಿಲ್ಲ,1
