ending1,ending2,labels,startphrase,valid,category,obj,vis,soc,cul
hirup kawas kakekang,hirup kawas bebas.,0,hirup kawas kurung batok,1,obj,1,0,0,0
hirup kawas kakekang,hirup kawas bebas.,1,hirup kawas murag bulu bitis.,1,obj,1,0,0,0
jadi jalma teh kudu rajin,jadi jalma teh kudu kedul.,0,jadi jalma teh kudu hampang birit,1,cul,0,0,0,1
jadi jalma teh kudu rajin,jadi jalma teh kudu kedul.,1,jadi jalma teh kudu beurat birit.,1,cul,0,0,0,1
mamat lumpat siga gancang,mamat lumpat siga laun.,0,Mamat lumpatna siga uncal,1,obj,1,0,0,0
mamat lumpat siga gancang,mamat lumpat siga laun.,1,Mamat lumpatna siga kuya.,1,obj,1,0,0,0
hirup teh kudu boga pendirian,hirup teh kudu boga plin-plan.,0,hirup teh kudu boga pamadeugan,1,soc,0,0,1,0
hirup teh kudu boga pendirian,hirup teh kudu boga plin-plan.,1,hirup teh kudu boga kaditu kadieu.,1,soc,0,0,1,0
jadi jalma kudu jujur,jadi jalma kudu boong.,0,si amat mah sok ngeduk cikur kedah mitutur,1,cul,0,0,0,1
jadi jalma kudu jujur,jadi jalma kudu boong.,1,si amat mah sok luncat licin.,1,cul,0,0,0,1
ceuk ema jadi jalmi teh kedah ramah,ceuk ema jadi jalmi teh kedah judes.,0,ceuk ema jadi jalmi teh kedah sing someah hade ka semah,1,cul,0,0,0,1
ceuk ema jadi jalmi teh kedah ramah,ceuk ema jadi jalmi teh kedah judes.,1,ceuk ema jadi jalmi teh kedah sing goreng bagug.,1,cul,0,0,0,1
si eta mah ngomong wae,si eta mah cicing wae.,0,si eta mah ateul biwir,1,obj,1,0,0,0
si eta mah ngomong wae,si eta mah cicing wae.,1,si eta mah kawas gaang katincak.,1,obj,1,0,0,0
lamun mikir kudu teu mikir panjang,lamun mikir kudu mikir jauh.,0,lamun mikir kudu pondok lengkah,1,vis,0,1,0,0
lamun mikir kudu teu mikir panjang,lamun mikir kudu mikir jauh.,1,lamun mikir kudu panjang lengkah.,1,vis,0,1,0,0
budak eta mah babarian ceurik,budak eta mah wanian.,0,budak eta mah epes meer,1,cul,0,0,0,1
budak eta mah babarian ceurik,budak eta mah wanian.,1,budak eta mah wanteran.,1,cul,0,0,0,1
jelema lamun geus teu gaduh kaera,jelema lamun geus eraan kudu diantepkeun.,0,jelema lamun geus kandel kulit bengeut,1,obj,1,0,0,0
jelema lamun geus teu gaduh kaera,jelema lamun geus eraan kudu diantepkeun.,1,jelema lamun geus isinan kudu diantepkeun.,1,obj,1,0,0,0
"si Udin jadi jalma teh meni koret, pedit",si Udin jadi jalma teh meni reseup babagi.,0,si Udin jadi jalma teh meni buntut kasiran,1,cul,0,0,0,1
"si Udin jadi jalma teh meni koret, pedit",si Udin jadi jalma teh meni reseup babagi.,1,si Udin jadi jalma teh meni berehan.,1,cul,0,0,0,1
Iis mah gampang kana panyakit,Iis mah teu gampang kana panyakit.,0,Iis mah amis daging,1,cul,0,0,0,1
Iis mah gampang kana panyakit,Iis mah teu gampang kana panyakit.,1,Iis mah pahang tulang.,1,cul,0,0,0,1
sasa teh biasana ramah,sasa teh biasana judes.,0,sasa teh biasana sok jadi amis budi,1,obj,1,0,0,0
sasa teh biasana ramah,sasa teh biasana judes.,1,sasa teh biasana sok jadi haseum budi.,1,obj,1,0,0,0
lamun bade nginjem duit kudu make duit anu teu menang dipake biasana lain anu pribadi,lamun bade nginjem duit kudu make duit anu pribadi moal waka dipake.,0,lamun bade nginjem duit kudu make duit panas,1,obj,1,0,0,0
lamun bade nginjem duit kudu make duit anu teu menang dipake biasana lain anu pribadi,lamun bade nginjem duit kudu make duit anu pribadi moal waka dipake.,1,lamun bade nginjem duit kudu make duit tiis.,1,obj,1,0,0,0
jalma ayeuna teh sok babari ngarobah omongan atawa janji,jalma ayeuna teh sok pageuh kana omongan atawa janji.,0,jalma ayeuna teh sok gurat cai,1,obj,1,0,0,0
jalma ayeuna teh sok babari ngarobah omongan atawa janji,jalma ayeuna teh sok pageuh kana omongan atawa janji.,1,jalma ayeuna teh sok gurat batu.,1,obj,1,0,0,0
lamun bisnis mah pasti jadi loba duit,lamun bisnis mah pasti jadi kacida teu boga duit.,0,lamun bisnis mah pasti jadi kandel dompet,1,vis,0,1,0,0
lamun bisnis mah pasti jadi loba duit,lamun bisnis mah pasti jadi kacida teu boga duit.,1,lamun bisnis mah pasti jadi kokoro nyoso.,1,cul,0,0,0,1
nanaon ge teu menang kaleleuwihan bisi loba teuing mun merean,nanaon ge teu menang kaleleuwihan bisi loba teuing mun merean nepi ka poho ka diri sorangan.,0,nanaon ge teu menang kaleleuwihan bisi tamplok bacoteun,1,soc,0,0,1,0
nanaon ge teu menang kaleleuwihan bisi loba teuing mun merean,nanaon ge teu menang kaleleuwihan bisi loba teuing mun merean nepi ka poho ka diri sorangan.,1,nanaon ge teu menang kaleleuwihan bisi tamplok batokeun.,1,cul,0,0,0,1
jadi jelema teh kadang bisa jadi pikareseupeun,jadi jelema teh kadang bisa jadi pikasebeleun.,0,jadi jelema teh kadang bisa jadi yuni kembang,1,obj,1,0,0,0
jadi jelema teh kadang bisa jadi pikareseupeun,jadi jelema teh kadang bisa jadi pikasebeleun.,1,jadi jelema teh kadang bisa jadi yuni tai.,1,obj,1,0,0,0
"jelema teh kabagi jadi dua, nyaeta anu bersih hate","jelema teh kabagi jadi dua, nyaeta anu goreng hate iri, dengki.",0,"jelema teh kabagi jadi dua, nyaeta anu wening galih",1,soc,0,0,1,0
"jelema teh kabagi jadi dua, nyaeta anu bersih hate","jelema teh kabagi jadi dua, nyaeta anu goreng hate iri, dengki.",1,"jelema teh kabagi jadi dua, nyaeta anu sulit ati.",1,soc,0,0,1,0
kudu hati hati milih pasangan bisi jadi awewe anu beak hartana,kudu hati hati milih pasangan bisi jadi lalaki anu beak hartana.,0,kudu hati hati milih pasangan bisi jadi potol jarum,1,cul,0,0,0,1
kudu hati hati milih pasangan bisi jadi awewe anu beak hartana,kudu hati hati milih pasangan bisi jadi lalaki anu beak hartana.,1,kudu hati hati milih pasangan bisi jadi potol teko.,1,cul,0,0,0,1
si Bina mah anak anu dipikanyaah,si Bina mah anak tere.,0,si Bina mah anak emas,1,obj,1,0,0,0
si Bina mah anak anu dipikanyaah,si Bina mah anak tere.,1,si Bina mah anak sampeuran.,1,cul,0,0,0,1
budak teh kudu alus didikana,budak teh kudu kurang didikan.,0,budak teh kudu asak warah,1,obj,1,0,0,0
budak teh kudu alus didikana,budak teh kudu kurang didikan.,1,budak teh kudu atah adol.,1,obj,1,0,0,0
tong jadi budak anu bodo tapi tara daek nanya,tong jadi budak anu bodo tapi daek tatanya.,0,tong jadi budak anu bodo katotoloyo,1,cul,0,0,0,1
tong jadi budak anu bodo tapi tara daek nanya,tong jadi budak anu bodo tapi daek tatanya.,1,tong jadi budak anu bodo alewoh.,1,cul,0,0,0,1
ari jadi salaki teh kudu digawe popohoan,ari jadi salaki teh kudu teu bisa digawe.,0,ari jadi salaki teh kudu banting tulang,1,cul,0,0,0,1
ari jadi salaki teh kudu digawe popohoan,ari jadi salaki teh kudu teu bisa digawe.,1,ari jadi salaki teh kudu badag cagap.,1,cul,0,0,0,1
si Dewi mah jadi gadis teh meni teu sombong,si Dewi mah jadi gadis teh meni sombong.,0,si Dewi mah jadi gadis teh meni handap asor,1,cul,0,0,0,1
si Dewi mah jadi gadis teh meni teu sombong,si Dewi mah jadi gadis teh meni sombong.,1,si Dewi mah jadi gadis teh meni gede hulu.,1,cul,0,0,0,1
ceunah lamun jadi awewe teh kudu anggun,ceunah lamun jadi awewe teh kudu buruk rupa.,0,ceunah lamun jadi awewe teh kudu siga putri raja,1,vis,0,1,0,0
