startphrase,ending1,ending2,labels,x,y,z
Look at your smile that looks like you're looking at it,Look at your sweet smile,Look at your bitter smile,0,your smile,that looks like you 're looking at,it
Look at your smile that looks like you are sipping coffee grounds,Look at your sweet smile,Look at your bitter smile,1,your smile,,you
The boy's voice was like silk,The boy's voice was melodious,The boy's voice was terrible,0,The boy 's voice,was like,silk
The boy's voice was like lightning,The boy's voice was melodious,The boy's voice was terrible,1,The boy 's voice,was like,lightning
You walk like you're being chased by a thief,You are running fast,Lakmu walked for a long time,0,You,walk like you 're being chased by,a thief
You walk like dragging a brick,You are running fast,Lakmu walked for a long time,1,You,walk like dragging,a brick
Your house is like a night market,Yesterday I came to your house which was crowded,Yesterday I came to your quiet house,0,Your house,is like,a night market
I think your house is like a demon's house,Yesterday I came to your house which was crowded,Yesterday I came to your quiet house,1,I,think your house is like,a demon 's house
Starting Monday is like waiting for a brick,Starting Monday is hard,Starting Monday is easy,0,a brick,g,Monday
Starting on Monday is like waiting for kakap,Starting Monday is hard,Starting Monday is easy,1,Monday,is like waiting for,kakap
"Yesterday I met Ms. Dewi, she looks like my brother","Yesterday I met Ms. Dewi, she has a beautiful face","Yesterday I met Ms. Dewi, her face was ugly",0,I,"met Ms. Dewi , she looks like",my brother
"Yesterday I met Ms. Dewi, she looks like a witch","Yesterday I met Ms. Dewi, she has a beautiful face","Yesterday I met Ms. Dewi, her face was ugly",1,I,"met Ms. Dewi , she looks like",a witch
"Poh, Mrs. Nita's clothes smell like a jasmine garden",Mrs. Nita's clothes smelled good,Mrs. Nita's clothes smell bad,0,Mrs. Nita 's clothes,smell like,a jasmine garden
"Poh, Mrs. Nita's clothes smell like pee",Mrs. Nita's clothes smelled good,Mrs. Nita's clothes smell bad,1,Mrs. Nita 's clothes,smell like,pee
The atmosphere of the kliwon jan market is like people fighting,The atmosphere of the kliwon jan market is crowded,The atmosphere of the kliwon market is quiet,0,The atmosphere of the kliwon jan market,is like,people
