lang	sentence
sw	Watoto ni malaika
sw	Yeye ni mnyama.
sw	Maneno yake ni kama kisu
sw	Maneno yake ni kama kinanda
sw	Tabasamu lake huangaza chumba kizima
sw	Tabasamu lake lilijaa  vitisho  kama shomoro mdogo aliyeshika shoka
sw	Nipo katika dimbwi la furaha
sw	Ninazama katika bahari ya huzuni
sw	Penzi lao limepamba moto"
sw	Penzi lao ni kama moto wa kibatari kwenye upepo"
sw	Wali huu una ladha kama umepikwa  hotelini
sw	Wali huu unaladha kama umepikwa bwenini
sw	Mtihani ulikuwa kama kipande cha keki
sw	Mtihani ulikuwa kama ugali wa jela
sw	Mzamiru alitoa pasi rula
sw	Feisal alitoa pasi mkaa
sw	Vijana ndio taifa la kesho
sw	Vijana wataozesha taifa
sw	Sauti yako ni muziki masikioni mwangu
sw	Sauti yako ni kama chiriku
sw	Mapenzi ni kikohozi
sw	Mapenzi ni kama punje ya unga kwenye mchele
sw	Ujana ni moshi
sw	Ujana ni safari ndefu
sw	 Maisha ni kama uji
sw	Maisha sio mchezo, ni vita
sw	Kauli yake ilinikata maini
sw	Kauli yake ilikua kama maji baridi kooni
sw	Awamu hii kutakua na michuano ya kukata na shoka
sw	Awamu hii kutakua na michuano lelemama
sw	Sandra, wewe ndio nuru ya macho yangu
sw	Sandra, wewe ni kama shubiri kinywani mwangu
sw	Tofauti na dhana iliyokuwepo, mama ndiye nguzo  ya familia
sw	Tofauti na dhana iliyokuwepo, mama ndiye kunguni wa familia
sw	Ndoa zitakua hadimu siku za usoni
sw	Kutakua na ndoa kama siafu siku za usoni
sw	Mapenzi ni vita
sw	Mapenzi ni keki
sw	Bahati ya mwenzio usiilalie mlango wazi
sw	Bahati ya mwenzio ilalie mlango wazi
sw	Kijana huyu ana roho ya dhahabu
sw	Kijana huyo ana roho ya kutu
sw	Maisha yake ni kama dira
sw	Maisha yake ni kama kuku akiyekatwa kichwa
sw	Mwendo wake ni mithili ya twiga
sw	Mwendo wake ni wa bata
sw	Wema ni hazina
sw	Wema sio kitenesi
sw	Macho yake yalikua kama mto wkati wa masika.
sw	Macho yake yalikua kama mto wkati wa kiangazi.
sw	Alihisi ngoma kifuani kwake
sw	Alihisi kifua chake kimeganda kama barafu
sw	Alipora mkoba wangu na kutimua vumbi
sw	Alipora mkoba wangu na kutembea kama konokono
sw	Walibishana hadi wakashikana mashati
sw	Walibishana kitakatifu
sw	Upele humuota asiye na kucha
sw	Jasho humtoka mwenye mwili
sw	Aisha, funga bakuli lako!
sw	Aisha, endelea tu kupiga mdomo
sw	Hakuna marefu yasiyokuwa na ncha
sw	Zimwi likujualo halikuli likakwisha
sw	Hassani hufanya mambo yake kama kobe
sw	Hassani hufanya mambo yake kama anakimbizwa
sw	Tatizo lako unapenda sana kutafuniwa
sw	Tatizo lako unapenda kufa mwenyewe
sw	Mtihani ulikua mgumu hadi kichwa kikaanza kuchemka
sw	Hata kama ulikua umejaza matope kichwani ungeweza kufanya mtihani ule
sw	Harufu ya miguu yake ilitosha kuua mbu
sw	Harufu ya miguu yake ingefaa kutengenezea manukato
sw	Maneno yake yalitosha kujaza bahari
sw	Maneno yake hayakuchukua hata sekunde
sw	Babu yangu alikua ni mtu wa miraba minne
sw	Babu yangu alikua kama punje ya haradali
sw	Wao hupenda kuweka mambo yao gizani
sw	Wanapenda kumwaga mchele kwenye kuku wengi
sw	Mchumia juani hulia kivulini
sw	Mchumia juani hulia juani
sw	Maisha yake yote ni kama miiba.
sw	Maisha yake yote ni kama mkate na chai.
sw	Muda sio rafiki.
sw	Muda ni rafiki.
sw	Harusi yao ilipamba moto
sw	Harusi yao ilikua kama msiba
sw	Maneno yake yalimtokea puani
sw	
sw	Nilienda kumdai fedha zangu lakini bado aliendelea kuniletea siasa
sw	Nilienda kumdai fedha zangu na hakunilitea siasa
sw	Utavuna ulichopanda
sw	Unaweza panda nazi ukavuna koroma
sw	Neno la Mungu ni nuru tosha
sw	Neno la Mungu ni gari bila mafuta
sw	Mvua ilimiminika kwa fujo
sw	Mvua ilikonyeza tu
sw	Ujana maji ya moto
sw	Ujana ni kama maji
sw	Alitokwa na machozi ya damu baada ya kujulishwa kuhusu kifo cha mama yake
sw	Habari za kifo cha mama yake zilikua kama wimbo wa gitaa kwake
sw	Msanii ni kioo cha jamii
sw	Msanii ni kioo cha chumbani kwake
sw	George Foreman alikua na ngumi ya chuma
sw	George Foreman alikua na ngumi ya kike
sw	Alionekana yupo tofauti na wengine kama kuku mgeni
sw	Alionekana yupo sawa na wengine kama pundamilia.
sw	Upepo ulipita ukimnong’oneza
sw	Upepo ulipita ukifoka
sw	Mama yao ana mdomo mchafu sana
sw	Mama yao ana maneno mazuri kama biblia
sw	Usipende kua vuguvugu
sw	Penda kua vuguvugu
sw	Aliahidi kuwa atachangia kisha akaingia mitini.
sw	Aliahidi kuwa atachangia na akawa mzungu
sw	Yule hana kifua.
sw	Yeye ana kifua.
sw	Ana upara kama jagwa la Sahara 
sw	Nywele zake nyingi kama nyasi za uwanja wa mpira.
sw	Kukopa ni harusi
sw	Kulipa ni matanga
sw	Yule ana damu nyeusi
sw	Kijana ana roho nzuri kama mwalimu.
sw	Ali ni sungura
sw	Ali mpole kama kondoo.
sw	Binadamu ni kama kinyonga
sw	Binadamu wanatabirika kama macho ya mwizi.
sw	Anafanya kazi kama nyuki
sw	Anafanya kazi kama jongoo
sw	Taa inatoa mwanga kama moto mkubwa  usiku wa manane
sw	Taa inatoa mwanga kama tobo kubwa jeusi katikati ya vakyumu.
sw	Suti ilikua kubwa kama bomu la Nyuklia
sw	Sauti ilikua ndogo kama wimbo wa taratibu.
sw	Silaha ilikua ngumu kama chuma
sw	Silaha ilikua dhaifu kama plastiki.
sw	Mdoli unatunzwa vizuri kama mtoto
sw	Mdoli unatunzwa vibaya kama takataka
sw	Kioo kilipasuka na kuonekena kama utandu wa buibui
sw	Sahani ilipasuka na kuonekena kama nusu mwezi wa angani
sw	Yeye anavutia kama mungu wa kigiriki
sw	Yeye anaonekana kama jokeri
sw	Filamu hii ina kina cha ziwa Tanganyika
sw	Filamu hii ina kina cha dimbwi.
sw	Chumba kina nafasi kubwa kama shamba
sw	Chumba kina nafasi ndogo iliyobaki kama jiji.
sw	Pombe ilimfanya ajisikie kama kifo
sw	Pombe ilimfanya ajisikie kama amelamba asali
sw	Muziki ulikua mzuri na laini kama Unyoya.
sw	Muziki ulikua mbaya na mgumu kama mkate wa juzi.
sw	Kwake, Kutengeneza pesa ilikuwa kama Oksijeni
sw	Kwake, Kutengeneza pesa ilikua kama kujipiga kitanzi.
sw	Kijana alikua kimya kama mtoto mdogo
sw	Kijana alipiga kelele kama garimoshi
sw	Pesa ni sabuni ya roho.
sw	Pesa ni muuaji.
sw	Inanukia vizuri kama juisi ya embe lililotoka mtini
sw	Inanukia vibaya kama tairi linaloungua
sw	Alikuwa na utajiri wa mfalme suleiman
sw	Alikuwa na utajiri wa Kibarua
sw	Kuna baridi kali kama vile tumetupwa Antaktika
sw	Hali ya hewa ni kama vile tumemwagiwa Lava
sw	Kiuno chake kina upana wa kijiti
sw	Kiuno chake kina upana wa mbuyu.
sw	Aliruka juu kama Panzi
sw	Aliruka juu kama kobe
sw	Filamu ilikuwa inatisha kama kinyago.
sw	Filamu ilikuwa inatisha kama mdoli mzuri.
sw	Tatizo lilikuwa dogo kama panya
sw	Tatizo lilikuwa kubwa kama tembo
sw	kazi ilikuwa rahisi kama kumsukuma mlevi.
sw	Kazi ilikuwa ngumu kama kusukuma ukuta
sw	Amani ni kama mwanadamu kupaa
sw	Amani ni kama mwanadanu kutembea
sw	Aliibeba kama mama aliyembeba mtoto wake
sw	Aliibeba kama kinyesi
sw	Nina njaa kali kama Simba
sw	Sina njaa kama Chatu aliyemeza windo lake.
sw	Matarajio yao yaliyeyuka kama barafu.
sw	Matarajio yao yalipitiliza kama saa ya mshale.
sw	Mawazo yake yalikuwa imara kama Zege
sw	Mawazo yakeyalikuwa dhaifu kama glasi.
sw	Maisha yake ni kama peni isiyo na wino
sw	Maisha yake ni kama bajeti ya nchi
sw	Upendo ni dunia.
sw	Upendo ni kama kumwaga maji baharini
sw	Siku ya mashindano alikimbia kama chui
sw	Siku ya mashindano alikimbia kama kinyonga
sw	Furaha ni dawa
sw	Furaha si dawa
sw	Wafanyakazi wanafanya kazi kama mchwa
sw	Wafanyakazi wanafanya kazi kibinafsi kama duma
sw	Elimu ni bahari
sw	Elimu ni mto
sw	Rafiki angu ni ua jekundu
sw	Rafiki angu ni ua jeusi
sw	Maongezi yalikua mafupi kama kipande cha sigara
sw	Maongezi yalikuwa marefu kama kesi ya mbowe.
sw	Kijana anapenda dini kama mchungaji
sw	Kijana hapendi dini kama hetani
sw	Mchezaji yule ana mapafu ya mbwa
sw	Mchezaji yule hana mapafu ya mbwa
sw	Rafiki yangu ana kumbukumbu kama  maktaba.
sw	Rafiki yangu ana ubongo wa mende.
sw	Kijana ni maji kwenye mtungi
sw	Kijana ni kama amepakwa upupu
sw	Mwalimu alipanda mbegu ya hekima
sw	Mwalimu hakupanda mbegu ya hekima
sw	Maisha yamenipiga chenga
sw	Maisha nimeyapiga bao
sw	Gari hili ni roketi
sw	Gari hili ni konokono
sw	Watu wamefurika katika sherehe
sw	Watu wamepelea katika sherehe
sw	Alikuja na jeshi la watoto
sw	Alikuja na kikundi cha watoto
sw	Ahadi ni deni
sw	Ahadi ni zawadi
sw	Nimevunja minyororo ya deni
sw	Bado nipo katika kifungo cha deni
sw	Kichwa chake kipo mawinguni
sw	Yeye ni mkia wa mbuzi
sw	Nyumbani kwangu ni kama oveni
sw	Nyumbani kwangu ni kama friji
sw	Maneno yake yanachoma moyo wangu
sw	Maneno yake yanafariji moyo wangu
sw	Sisi hatupikiki chungu kimoja
sw	Mimi na mdogo wangu ni pete na kidole
sw	Yeye ni kiazi
sw	Yeye ni kichwa
sw	Rafiki yangu ananipaka wanja
sw	Rafiki yangu ananipaka pilipili
sw	Mama ni kitanda
sw	Mama si kitanda
sw	Alfred alienda kupima akakutwa na umeme
sw	Alfred alienda kupima lakini hakukutwa na umeme
sw	Jamaa alitoka baruti 
sw	Jamaa alisimama kama mlingoti alivyokutana na vibaka
sw	Yule mbunge ni bendera hufuata upepo
sw	Yule mbunge ana msimamo wa shaba
sw	Maisha yamekua pasua kichwa
sw	Maisha yamekua malaini
sw	Kulipa uovu ni kujipalia makaa ya moto
sw	Kulipa uovu ni kujipalilia matunda
sw	Rafiki yake anapenda sana njia za panya
sw	Rafiki yake amekunywa maji ya bendera
sw	Wanachuo wanapenda kupiga maji
sw	Wanachuo hawapendi kupiga maji
sw	Wanafiki watakupaka mafuta
sw	Wanafiki hawatakupaka mafuta
sw	Hupenda kuweka mambo yake kwenye mstari
sw	Hupenda kupindisha mambo yake 
sw	Mvua ilinyesha mgongoni mwake wakati wa mazoezi
sw	Ukame ulitanda mgongoni mwake wakati wa mazoezi
sw	Wanapenda kuambatana utadhani siafu
sw	Hawapendi kuambatana kama siafu
sw	Hii kesi tumeivalia njuga
sw	Hii kesi tumeivulia shati
sw	Akili zako nawe kama mbogo
sw	Akili zako kama mbweha
sw	Hawezi kuolewa, bado ni kifaranga
sw	Anaweza kuolewa, ameshakuwa msupu
sw	Mwanafunzi huyu ana kichwa kigumu
sw	Mwanafunzi huyu ana kichwa chepesi
sw	Haya mambo nimeyanawia mikono
sw	Haya mambo nimeyafungia mkanda
sw	Nguo zake kila siku ni pamba kali
sw	Nguo zake kila siku ni matambara
sw	Hali yangu ni kama natembea juu ya miiba
sw	Hali yangu ni mtelezo tu
sw	Abuu ni mwanangu
sw	Abuu sio mwanangu
sw	Aliingiwa na ubaridi baada ya kushtuka kuwa yuko mwenyewe barabarani
sw	Hakuingiwa na ubaridi hata aliposhtuka kuwa yuko mwenyewe barabarani
sw	Jamaa ni fisi
sw	Jamaa sio fisi
sw	Ukimkuta kwenye uwanja wa mbio, kama farasi
sw	Ukimkuta kwenye uwanja wa mbio, kama kobe
sw	Yeye ni unyoya
sw	Yeye ni jabali
sw	Alinivuta kama sumaku
sw	Alinisukuma kama kimbunga
sw	Yeye ni kuku
sw	Yeye ni chui
sw	Tulipiga shoka mali zote
sw	Hatukupiga shoka mali
sw	Mke wake ni mkaa
sw	Mke wake ni theluji
sw	Sauti yake ni hariri
sw	Sauti yake ni kama chura
sw	Kaka yangu ni nyumbu
sw	Kaka yangu si nyumbu
sw	Rafiki yangu ni bundi
sw	Rafiki yangu ni popo
sw	Ilikuwa na spidi ya maji ya mtaro
sw	Ilikuwa na spidi ya risasi
sw	Sisi ni kama ardhi na mbingu
sw	Sisi ni kama chupi na tako
sw	Juma ana sikio la mbuzi
sw	Juma ana sikio la tembo
sw	Maji ya bombani ni kaburi la baniani
sw	Maji ya bombani ni kaburi la baniani
sw	Mapenzi ni asali
sw	Mapenzi ni shubiri
sw	Yeye ni mnyama
sw	Yeye ni malaika
sw	Msichana alikuwa kipepeo
sw	Msichana alikuwa kienyeji
sw	Kenya ni paradiso
sw	Kenya ni jehanamu
sw	Moyo wake ni mkubwa
sw	Moyo wake ni mdogo
sw	Kazi yangu ni shida
sw	Kazi yangu ni raha
sw	Nina wazimu juu yake
sw	Nina kijicho juu yake
sw	Mradi huo ni mchanga
sw	Mradi huo ni mkongwe
sw	Ana roho ya simba
sw	Ni mpole kama kobe
sw	Wewe ni nyota yangu
sw	Wewe ni giza yangu
sw	Kukopa arusi
sw	kulipa matanga
sw	Mgeni ni kuku mweupe
sw	Mgeni ni kuku mweusi
sw	Rafiki yake ni sungura
sw	Rafiki yake ni kondoo
sw	Yeye ni mrefu kama twiga
sw	Yeye ni mfupi kama mbilikimo
sw	Aliwachwa mataani na yule ndugu
sw	Alipatana naye hadharani
sw	Yeye ni chui
sw	yeye ni kobe
sw	Kuna panya kati yetu
sw	kuna pamba kati yetu
sw	Kicheko ni dawa
