startphrase,ending1,ending2,labels
Her word had the strength of titanium.,Her promises can be believed.,Her promises cannot be trusted.,0
Her word had the strength of a wine glass.,Her promises can be believed.,Her promises cannot be trusted.,1
His kisses have the passion of lovers meeting after a long separation.,His kisses are demonstrative and intense.,His kiss is unemotional.,0
His kisses have the passion of a couple in a loveless marriage.,His kisses are demonstrative and intense.,His kiss is unemotional.,1
This winter is as cold as my mother-in-law towards me,It's very cold,It's pretty warm,0
This winter is as cold as Death Valley at noon,It's very cold,It's pretty warm,1
The dog was as grumpy as an old man,he was mean,he was nice,0
The dog was as grumpy as a kindergarten teacher,he was mean,he was nice,1
The voyage was as long as a lifetime,The voyage was very long,The voyage as short.,0
The voyage was as long as the blink of an eye,The voyage was very long,The voyage as short.,1
He had all the wealth of a tycoon,He was rich.,He was poor.,0
He had all the wealth of a hobo,He was rich.,He was poor.,1
It smells like a freshly baked cookies on Christmas morning,It smells great,It smells awful,0
It smells like a cesspool sitting in the hot sun,It smells great,It smells awful,1
The conversation is a bank vault,The conversation is worthwhile.,The conversation is meaningless.,0
The conversation is a 25 cent off coupon,The conversation is worthwhile.,The conversation is meaningless.,1
The motivational push was a bulldozer,The motivational push was very motivating.,The motivational push didn't work well.,0
The motivational push was a light breeze,The motivational push was very motivating.,The motivational push didn't work well.,1
Money is a helpful stranger,Money is good,Money is bad,0
Money is a murderer,Money is good,Money is bad,1
The conversation was the OJ Simpson trial,The conversation was long,The conversation was short,0
The conversation was a cigarette break,The conversation was long,The conversation was short,1
The seas on the voyage were glass,The seas were calm,The seas were rough,0
The seas on the voyage were a rock quarry,The seas were calm,The seas were rough,1
The student was as helpful as medicine,he was a big help,he was not needed,0
The student was as helpful as a punch in the face,he was a big help,he was not needed,1
Their relationship has the heat of Miami in August,Their relationship is passionate,Their relationship is lacking passion.,0
Their relationship has the heat of an igloo.,Their relationship is passionate,Their relationship is lacking passion.,1
The voyage will be a walk through fire.,The voyage will be difficult and arduous.,The voyage will be pleasant.,0
The voyage will be a walk through flowers.,The voyage will be difficult and arduous.,The voyage will be pleasant.,1
"For him, earning money was oxygen.",Making money kept him alive.,Making money was killing him.,0
"For him, earning money was a rope around his neck.",Making money kept him alive.,Making money was killing him.,1
