startphrase,ending1,ending2,labels,x,y,z
The child ate more than twenty-five cups of coffee yesterday,The child ate a lot of food,The child did not eat much food,0,The child,ate more than twenty - five cups of,coffee
The child ate a banana yesterday,The child ate a lot of food,The child did not eat much food,1,The child,ate,a banana
She is as bad as a witch,He used to laugh,It's really bad,1,She,is as bad as,a witch
He was as bad as he was good-hearted,He used to laugh,It's really bad,0,He,was as bad as,he
The neck is breathing like a baby,The ground is clear,There was a darkness.,0,The neck,is breathing like,a baby
The neck does not light up at all,The ground is clear,There was a darkness.,1,The neck,does not light up,at all
The brain of Talabi dota is like a stupid child who was sent to buy Osan,Talabi's head is a lot,Talábi's head is not complete at all,1,The brain of Talabi dota,is like,a stupid child who was sent to buy Osan
Tálabi's brain works perfectly like a child who knows how to work,Talabi's head is a lot,Talábi's head is not complete at all,0,Tálabi 's brain,works perfectly like,a child who knows how to work
Binrin's son then gave birth to a bird of prey,The girl is beautiful,The girl was beautiful,0,Binrin 's son,then gave birth to,a bird of prey
Binrin's daughter gave birth to a child,The girl is beautiful,The girl was beautiful,1,Binrin 's daughter,gave birth to,a child
The people of the city saw that the tiger was defeated,Conquer with courage,Laziness wins,0,The people of the city,saw that,the tiger
The people of the city saw that Igbin was victorious,Conquer with courage,Laziness wins,1,The people of the city,saw that,Igbin
Adigún is a model in singing,Adigun knows how to sing,Adigun does not know how to sing.,0,Adigún,is,a model in singing
Adigun is a hard-working criminal in poetry,Adigun knows how to sing,Adigun does not know how to sing.,1,Adigun,is a hard - working criminal in,poetry
The baby was born yesterday,The child calmed down,The child was not calm at all,0,the baby,was,born yesterday
The child was born without legs yesterday,The child calmed down,The child was not calm at all,1,The child,was born without,legs
Ishola is a pig in his house,Honor is cleanliness,Glory is a gift,1,Ishola,is a pig in,his house
Honor does not repair his house all the time,Honor is cleanliness,Glory is a gift,0,Honor,does not repair,his house
The mother saw the punishment as the rock of Olumu,The mother is big / soft,The mother is not big / weak,1,The mother,saw the punishment as,the rock of Olumu
The mother saw him as a wealthy bride,The mother is big / soft,The mother is not big / weak,0,The mother,saw him as,a wealthy bride
Your skin looks like burning coal,His skin is very dark,His skin is very red,1,Your skin,looks like,burning coal
His skin looks like the value he has just bought from the ocher land,His skin is very dark,His skin is very red,0,His skin,looks like,the value he has just bought from the ocher land
Water fell from the turtle's face when the King ordered them to go bald.,Tortoise is happy / Tortoise laughs,Sad turtle / Crying turtle,1,Water,fell from the turtle 's face when,the King
Water fell from the turtle when the King ordered that they be given the title of chief.,Tortoise is happy / Tortoise laughs,Sad turtle / Crying turtle,0,Water,fell from the turtle when the King ordered that they be given the title of,chief
Akekeele sent his friend Okete to heaven with his anger,Akekéé killed Okété,Akekéé didn't kill Okété,1,Akekeele,sent his friend Okete to heaven with,his anger
Akekeele angrily sent his friend Okete to the dance hall,Akekéé killed Okété,Akekéé didn't kill Okété,0,Akekeele,angrily sent his friend Okete to,the dance hall
Bola ate two bags of beans before going to bed,Bola is very beautiful,Honor is not enough beauty,0,Bola,ate two bags of beans before going to,bed
Bola had a spoonful of beauty before going to sleep,Bola is very beautiful,Honor is not enough beauty,1,Bola,had a spoonful of,beauty
Aduke is a dog for all the men in the community,Misguided / Merchant in Aduque,Aduke is not a misguided / moneylender,1,Aduke,is a dog for,all the men in the community
Aduke is beautiful to all the men in the area,Misguided / Merchant in Aduque,Aduke is not a misguided / moneylender,0,Aduke,is beautiful to,all the men in the area
Ekko's politicians are crooks,Thieves from the politicians of the city of Eko,Eco politicians are not thieves,1,Ekko 's politicians,are,crooks
Eco politicians are compassionate,Thieves from the politicians of the city of Eko,Eco politicians are not thieves,0,Eco politicians,are,compassionate
The tiger was tall and black as a bird,The brother is handsome,The brother is not handsome,0,The tiger,was tall and black as,a bird
The tiger was tall and black like a monkey,The brother is handsome,The brother is not handsome,1,The tiger,was tall and black like,a monkey
The child swam like a fish yesterday.,The child knows you,The child does not know you,0,The child,swam like,a fish
The child was born yesterday and went home.,The child knows you,The child does not know you,1,The child,was born yesterday and went,home
The orange leaves danced on the tree,The wind blows the orange leaves,The wind does not blow the leaves,0,The orange leaves,danced on,the tree
The orange leaves do not leave one eye on the tree,The wind blows the orange leaves,The wind does not blow the leaves,1,The orange leaves,do not leave one eye on,the tree
"Time is running fast, and we can't wait for anyone",There is no time,There are many times,0,Time,"is running fast , and we ca n't wait for",anyone
"Time is running like a snail, and we can't wait for anyone",There is no time,There are many times,1,Time,"is running like a snail , and we ca n't wait for",anyone
The chicken was running like a dog at the running game last week,The chicken knows how to run,The chicken does not know how to run,0,The chicken,was running like,a dog at the running game
The chicken was flying like a mosquito at the running game last week,The chicken knows how to run,The chicken does not know how to run,1,The chicken,was flying like,a mosquito at the running game
The heart of Xalápé is stone,Careful heart is hard,Xalápe's heart softened,1,The heart of Xalápé,,Xalápé
Çalápe's heart loves Amala,Careful heart is hard,Xalápe's heart softened,0,Çalápe 's heart,loves,Amala
Bolaji ate like a person who had not eaten for six years,Bolaji ate a lot,Bolaji did not eat at all,0,Bolaji,ate like,a person who had not eaten for six years
Bolaji ate like a drunk,Bolaji ate a lot,Bolaji did not eat at all,1,Bolaji,ate like,a drunk
