ending1,ending2,labels,startphrase,valid,Obj,Vis,Soc,Cul
Nyawang esemmu sing manis,Nyawang esemmu sing pahit,0,Nyawang esemmu sing rupane kaya ngemut glali,1,1,1,1,
Nyawang esemmu sing manis,Nyawang esemmu sing pahit,1,Nyawang esemmu sing rupane kaya nyruput ampas kopi,1,1,1,1,
Suarane bocah kuwi merdu,Suarane bocah kuwi elek,0,Suarane bocahe kuwi kaya sutra,1,1,,1,
Suarane bocah kuwi merdu,Suarane bocah kuwi elek,1,Suarane bocahe kuwi kaya bledek,1,1,,1,
Lakmu mlaku cepet,Lakmu mlaku suwi,0,Lakmu mlaku jan kaya diuber maling,1,1,,,
Lakmu mlaku cepet,Lakmu mlaku suwi,1,Lakmu mlaku jan kaya nyeret bata,1,1,,,
Dek wingi aku nyang omahmu sing rame,Dek wingi aku nyang omahmu sing sepi,0,Dekwingi aku nyang omahmu jan kaya pasar malem,1,,,1,
Dek wingi aku nyang omahmu sing rame,Dek wingi aku nyang omahmu sing sepi,1,Dekwingi aku nyang omahmu jan kaya omah demit,1,,,1,
Ngawiti dina senen iku abot banget,Ngawiti dina senen iku enteng,0,Ngawiti dina senen iku seabot nyunggi batako,1,1,,,
Ngawiti dina senen iku abot banget,Ngawiti dina senen iku enteng,1,Ngawiti dina senen iku seabot nyunggi kapuk,1,1,,,
"Winginane aku ketemu Mbak Dewi, wajahe ayu","Winginane aku ketemu Mbak Dewi, wajahe elek",0,"Winginane aku ketemu Mbak Dewi, rupane kaya cak ning",1,,1,,
"Winginane aku ketemu Mbak Dewi, wajahe ayu","Winginane aku ketemu Mbak Dewi, wajahe elek",1,"Winginane aku ketemu Mbak Dewi, rupane kaya kuntilanak",1,,1,,1
Ambune klambine Bu Nita wangi,Ambune klambine Bu Nita mambu ora enak,0,"Poh, ambune klambine Bu Nita kaya kebon mlathi",1,1,,,
Ambune klambine Bu Nita wangi,Ambune klambine Bu Nita mambu ora enak,1,"Poh, ambune klambine Bu Nita kaya peceren",1,1,,,
Suasanane pasar kliwon jan kaya rame,Suasanane pasar kliwon jan kaya sepi,0,Suasanane pasar kliwon jan kaya wong tawuran,1,,1,,
Suasanane pasar kliwon jan kaya rame,Suasanane pasar kliwon jan kaya sepi,1,Suasanane pasar kliwon jan kaya kuburan,1,,1,,
Lekmu numpak mobil alon,Lekmu numpak mobil cepet,0,Lekmu numpak mobil kaya keong,1,1,,,
Lekmu numpak mobil alon,Lekmu numpak mobil cepet,1,Lekmu numpak mobil kaya alap-alap,1,1,,,
Lungguh ning kursi iku rasane empuk,Lungguh ning kursi iku rasane atos,0,Lungguh ning kursi iku rasane kaya bantal,1,1,,,
Lungguh ning kursi iku rasane empuk,Lungguh ning kursi iku rasane atos,1,Lungguh ning kursi iku rasane kaya watu,1,1,,,
Udane maeng isuk deres,Udane maeng isuk gerimis,0,Udane maeng isuk kaya disok,1,,,1,
Udane maeng isuk deres,Udane maeng isuk gerimis,1,Udane maeng isuk kaya kletik,1,,,1,
Bar sepedahan tekan nggunung boyok rasane keju kabeh,Bar sepedahan tekan nggunung boyok rasane penak,0,Bar sepedahan tekan nggunung boyok rasane kaya dilindes trek,1,1,,,
Bar sepedahan tekan nggunung boyok rasane keju kabeh,Bar sepedahan tekan nggunung boyok rasane penak,1,Bar sepedahan tekan nggunung boyok rasane kaya dibalsemi sedinaan,1,1,,,
Adike Anas duwur banget,Adike Anas cendek,0,"Ra umum, duwurmen adike Anas sak wit klapa",1,1,,,
Adike Anas duwur banget,Adike Anas cendek,1,"Ra umum, duwurmen adike Anas sak wit ceplukan",1,1,,,
Lampu kamarku padang,Lampu kamarku peteng,0,Padange lampu kamarku kaya sokle,1,,,,1
