startphrase,ending1,ending2,labels,x,y,z
life like a shell cage,live like a grandfather,live like free.,0,a shell cage,,shell
life is like falling leg hair.,live like a grandfather,live like free.,1,life,is like,falling leg hair
so the person should have mild diarrhea,so people must be diligent,so people should be lazy.,0,the person,should have,mild diarrhea
so the person must have diarrhea.,so people must be diligent,so people should be lazy.,1,the person,must have,diarrhea
Mamat runs like a moose,mamat ran as fast as he could,mamat ran as if slowly.,0,Mamat,runs like,a moose
Mamat runs like a turtle.,mamat ran as fast as he could,mamat ran as if slowly.,1,Mamat,runs like,a turtle
life must have an attitude,life must have a stand,life must have a plan.,0,life,must have,an attitude
life must have here and there.,life must have a stand,life must have a plan.,1,life,must have,here and there
I'm always digging and needing to talk,so people should be honest,so people must be stupid.,0,I,'m,always
I always jump slippery.,so people should be honest,so people must be stupid.,1,I,always jump,slippery
Mom said to be a good person you have to be nice to everyone,said mother to be a person should be friendly,said mother to be a person should be judes.,0,Mom,said to be a good person you have to be nice to,everyone
Mom said to be a person you have to be good.,said mother to be a person should be friendly,said mother to be a person should be judes.,1,Mom,said to be a person,you
that person's lips are itchy,he just said it,he just stayed silent.,0,that person 's lips,are,itchy
It's like he's been stepped on.,he just said it,he just stayed silent.,1,It,'s like,he
if you think you should take a short step,if you think you should not think long,if you think you have to think far away.,0,you,,you
if you think it should be a long step.,if you think you should not think long,if you think you have to think far away.,1,you,think,it
that boy is not meer,the boy is about to cry,that boy is brave.,0,that boy,is not,meer
that boy is a joke.,the boy is about to cry,that boy is brave.,1,that boy,is,a joke
if people have thick skin,people if they don't have kaera,"if people are angry, they should be left alone.",0,people,have,thick skin
people who are shy should be left alone.,people if they don't have kaera,"if people are angry, they should be left alone.",1,people who are shy,,who
si Udin is a person with a tail,si Udin is a lazy person,Udin is a person who likes to share.,0,si,Udin is a person with,a tail
Udin is a generous person.,si Udin is a lazy person,Udin is a person who likes to share.,1,Udin,is,a generous person
Iis is sweet meat,Iis is easy to get sick,Iis is not easy to get sick.,0,Iis,is,sweet meat
Iis is a bone axe.,Iis is easy to get sick,Iis is not easy to get sick.,1,Iis,is,a bone axe
sasa tea is usually sweet,sasa is usually friendly,sasa tea is usually judes.,0,sasa tea,is usually,sweet
the time is usually sour.,sasa is usually friendly,sasa tea is usually judes.,1,the time,is usually,sour
"if you want to borrow money, you have to use hot money","if you want to borrow money, you have to use money that you don't win, usually other than personal money","if you want to borrow money, you have to use personal money that will not be used.",0,you,,you
"if you want to borrow money, you must use cold money.","if you want to borrow money, you have to use money that you don't win, usually other than personal money","if you want to borrow money, you have to use personal money that will not be used.",1,you,,you
people today are always on the side of the water,People today are always afraid to change their words or promises,People today always stick to their words or promises.,0,people,today are always on,the side of the water
people today are always stone sideways.,People today are always afraid to change their words or promises,People today always stick to their words or promises.,1,people,today are always stone,sideways
if my business is sure to be thick wallet,if my business is sure to be a lot of money,if my business is definitely not money.,0,my business,is,sure to be thick wallet
"if it's a business, it's definitely going to be kokoro nyoso.",if my business is sure to be a lot of money,if my business is definitely not money.,1,it,,it
