startphrase,ending1,ending2,labels
Mahasiswa iku nduweni julukan otak udang,Mahasiswa iku nduweni julukan wong sing bodho,Mahasiswa iku nduweni julukan wong sing pinter,0
Pendukunge Pak Rangga dadi bupati kayata jamaah sholat subuh ing masjid,Pendukunge Pak Rangga dadi bupati Akeh,Pendukunge Pak Rangga dadi bupati sitik,1
Warnane rambute kaya areng,Warna rambute putih,Warna rambute ireng,1
Bathuke Icha nonong,Bathuke Ica Rata,Bathuke Ica amba banget,1
Aldi lan Doni iku sahabat sing wis kaya senar,Aldi lan Doni iku sahabat sing wis kokoh banget kaya rante,Aldi lan Doni iku sahabat sing wis rapuh lan tipis kaya senar,1
Enteke dhuwit gajiku umpama ngetutke miline banyu,Enteke dhuwit gajiku boros,Enteke dhuwit gajiku irit,0
"Winginane aku ketemu Mbak Dewi, rupane kaya cak ning","Winginane aku ketemu Mbak Dewi, wajahe ayu","Winginane aku ketemu Mbak Dewi, wajahe elek",0
Wong wedok iku kaya polahe kebo,Wong wedok iku sregep,Wong wedok iku males,1
Yen nyawang mripate Sari kaya ndamar kanginan,Yen nyawang mripate Sari blalak-blalak,Yen nyawang mripate Sari sipit,0
Fahmi mangan sega kaya kewaregen bubar prasmanan,Fahmi mangan sega kaya wong keluwen,Fahmi mangan sega kaya wong kewaregen,1
Tulisane Sarti jumejer ana papan tulis kaya cekere pitik,Tulisane Sarti jumejer ana papan tulis apik banget,Tulisane Sarti jumejer ana papan tulis elek banget,1
Persidangan nang film kuwi rasane kaya gedhe sisih,Persidangan nang film kuwi rasane kaya ora adil,Persidangan nang film kuwi rasane kaya adil,0
"Wis suwi ngerantau, rasane wong iku tambah gumedhe","Wes suwi ngerantau, wong iku tambah rendah hati","Wes suwi ngerantau, wong iku tambah besar kepala",1
Jidate kaya lapangan bal-balan,Jidate ombo,Jidate ciut,0
Montor iku digawe seka kayu,Montor iku kuat,Montor iku ringkih,1
Banyu ing Surabaya umpama embun ning ndhuwur kaca,Banyu ing Surabaya bening,Banyu ing Surabaya buthek,0
Untune Dik Sri mbiji timun,Untine Dik Sri tata,Untine Dik Sri gedi-gedi ting mbedesal,0
Isuk iki Jogja hawane kaya banyu umup,Isuk iki Jogja hawane panas,Isuk iki Jogja hawane adem,0
Wong iku kulite kaya kulit bayi,Wong iku kulite kaya lembut kaya kulit bayi,Wong iku kulite kaya kasar kaya kulit boyo,0
Awake Surya nalika isih sekolah mbiyen kaya kuru semangka,Awake Surya nalika isih sekolah mbiyen lemu banget,Awake Surya nalika isih sekolah mbiyen kuru banget,0
Suarane bocahe kuwi kaya sutra,Suarane bocah kuwi merdu,Suarane bocah kuwi elek,0
Keteguhane ngadepi kenyataan kaya krupuk,Keteguhane ngadepi kenyataan kuat,Keteguhane ngadepi kenyataan rapuh,1
