startphrase,ending1,ending2,labels
Sapopoe si eta kawas nu diudag ku rentenir,Sapopoe si eta seueur emutan,Sapopoe si eta euweuh pagawean.,0
Sapopoe si eta kawas nu teu boga pamajikan.,Sapopoe si eta seueur emutan,Sapopoe si eta euweuh pagawean.,1
Dina éta balapan manehna jiga béntang lapangan,Dina éta balapan manehna jiga idola,Dina éta balapan manehna jiga jalmi nu teu diperhitungkeun.,0
Dina éta balapan manehna jiga kuda hideung.,Dina éta balapan manehna jiga idola,Dina éta balapan manehna jiga jalmi nu teu diperhitungkeun.,1
Pernikahan mah ti jaman baheula gé asaan pasti aya anu siga mayit dibéré formalin,Pernikahan mah aya nu awét,Pernikahan mah aya nu teu awét.,0
Pernikahan mah ti jaman baheula gé asaan pasti aya anu siga batré hp urut batur.,Pernikahan mah aya nu awét,Pernikahan mah aya nu teu awét.,1
"lamun aya masalah, hidup teh karasa keur buuk pakusut","lamun aya masalah, hidup teh karasa keurteu lancar","lamun aya masalah, hidup teh karasa keur mulus.",0
"lamun aya masalah, hidup teh karasa keur jalan tol.","lamun aya masalah, hidup teh karasa keurteu lancar","lamun aya masalah, hidup teh karasa keur mulus.",1
Bumi na siga nu teu aya cucunguk sahiji-hiji acan,Bumi na beresih pisan,Bumi na buladig.,0
Bumi na siga sarang na cucunguk.,Bumi na beresih pisan,Bumi na buladig.,1
Ngadangu carita anjeun mah kawas ngimpi labuh ka gawir,Ngadangu carita anjeun mah ngareuwaskeun,Ngadangu carita anjeun mah nyenengkeun.,0
Ngadangu carita anjeun mah kawas ngimpi naek ferrari.,Ngadangu carita anjeun mah ngareuwaskeun,Ngadangu carita anjeun mah nyenengkeun.,1
ceuk ema jadi jalmi teh kedah sing someah hade ka semah,ceuk ema jadi jalmi teh kedah ramah,ceuk ema jadi jalmi teh kedah judes.,0
ceuk ema jadi jalmi teh kedah sing goreng bagug.,ceuk ema jadi jalmi teh kedah ramah,ceuk ema jadi jalmi teh kedah judes.,1
"Di kelas, manehna murid anu ringan sirah","Di kelas, manehna murid anu pinter","Di kelas, manehna murid anu bodo.",0
"Di kelas, manehna murid anu beurat sirah.","Di kelas, manehna murid anu pinter","Di kelas, manehna murid anu bodo.",1
jadi gadis balik teh tong pas datang panonpoe,jadi gadis balik teh tong pas datang isuk,jadi gadis balik teh tong pas datang peuting.,0
jadi gadis balik teh tong pas datang bulan.,jadi gadis balik teh tong pas datang isuk,jadi gadis balik teh tong pas datang peuting.,1
Buku sakola ayeuna sakandeul koran,Buku sakola ayeuna ipis,Buku sakola ayeuna kandeul.,0
Buku sakola ayeuna sakandeul ensiklopedia dunia.,Buku sakola ayeuna ipis,Buku sakola ayeuna kandeul.,1
