startphrase,ending1,ending2,labels
ಆ ಹಣ್ಣು ಹಲಸಿನಂತೆ ಬಹಳ ಅಪರೂಪ,ಆ ಹಣ್ಣು ಬಹಳ ಅಪರೂಪ,ಆ ಹಣ್ಣು ಬಹಳ ಅಪರೂಪವಲ್ಲ,0
ಆ ಪ್ರದೇಶ ಮಾರ್ಕೆಟ್ ನಂತೆ ಹೆಚ್ಚು ಜನ ರಿಂದ ಕೂಡಿದೆ,ಆ ಪ್ರದೇಶ ಹೆಚ್ಚು ಜನರಿಂದ ಕೂಡಿದೆ,ಆ ಪ್ರದೇಶ ಹೆಚ್ಚು ಜನರಿಂದ ಕೂಡಿಲ್ಲ,0
ಅದು ಉಂಗುರದಂತೆ ಓವಲ್ ಆಕಾರ ಹೊಂದಿದೆ,ಅದು ಓವಲ್ ಆಕಾರ ಹೊಂದಿದೆ,ಅದು ಓವಲ್ ಆಕಾರ ಹೊಂದಿಲ್ಲ,1
ಈ ವಾಹನವು ಎತ್ತಿನಗಾಡಿಯಂತೆ ಶೀಘ್ರ ವಾಗಿ ಚಲಿಸುತ್ತದೆ.,ಈ ವಾಹನವು ಶೀಘ್ರ ವಾಗಿ ಚಲಿಸುತ್ತದೆ,ಈ ವಾಹನವು ಶೀಘ್ರ ವಾಗಿ ಚಲಿಸುವುದಿಲ್ಲ,1
ಶಿಖರದಲ್ಲಿ ಹಿಮಪಾತದಂತೆ ಯಥೇಚ್ಛವಾಗಿದೆ.,ಶಿಖರದಲ್ಲಿ ಹಿಮಪಾತ ಹೆಚ್ಚು,ಶಿಖರದಲ್ಲಿ ಹಿಮಪಾತ ಕಡಿಮೆ,0
ಅವನು ನರಿಯಂತೆ ಪ್ರಾಮಾಣಿಕ ಗುಣ ಹೊಂದಿದ್ದನು.,ಅವನು ಪ್ರಾಮಾಣಿಕ ಗುಣ ಹೊಂದಿದ್ದನು.,ಅವನು ಪ್ರಾಮಾಣಿಕ ಗುಣ ಹೊಂದಿಲ್ಲ,1
ಆ ಕಟ್ಟಡವು ಗುಡಿಸಲಿನಂತೆ ಐಷಾರಾಮಿಯಾಗಿದೆ,ಆ ಕಟ್ಟಡವು ಐಷಾರಾಮಿಯಾಗಿದೆ,ಆ ಕಟ್ಟಡವು ಐಷಾರಾಮಿಯಾಗಿಲ್ಲ,1
ಆ ಹೂವು ದಾಸವಾಳದಂತೆ ಮುಳ್ಳನ್ನು ಹೊಂದಿದೆ,ಆ ಹೂವು ಮುಳ್ಳನ್ನು ಹೊಂದಿದೆ,ಆ ಹೂವು ಮುಳ್ಳನ್ನು ಹೊಂದಿಲ್ಲ,1
ಸಿನಿಮಾದಲ್ಲಿ ಕೆಟ್ಟ ಸಂದೇಶವಿತ್ತು,ಸಿನಿಮಾದಲ್ಲಿ ಒಳ್ಳೆಯ ಸಂದೇಶವಿತ್ತು,ಸಿನಿಮಾದಲ್ಲಿ ಒಳ್ಳೆಯ ಸಂದೇಶವಿಲ್ಲ,1
ಆಹಾರವು ಮೊಟ್ಟೆಯಂತೆ ಹೆಚ್ಚು ಪ್ರೋಟೀನ್ ಅಂಶ ಹೊಂದಿದೆ,ಆಹಾರವು ಹೆಚ್ಚು ಪ್ರೋಟೀನ್ ಅಂಶ ಹೊಂದಿದೆ,ಆಹಾರವು ಹೆಚ್ಚು ಪ್ರೋಟೀನ್ ಅಂಶ ಹೊಂದಿಲ್ಲ,0
ಆ ಮ್ಯಾಚ್ ವರ್ಲ್ಡ್ ಕಪ್ ಫೈನಲ್ ಅಂತೆ ಪ್ರಮುಖವಾಗಿತ್ತು,ಆ ಮ್ಯಾಚ್ ಪ್ರಮುಖವಾಗಿತ್ತು,ಆ ಮ್ಯಾಚ್ ಪ್ರಮುಖವಾಗಿರಲಿಲ್ಲ,0
ಅವನ ನಂಬಿಕೆಗಳು ಬಂಡೆಯಂತೆ ಬಲಿಷ್ಠವಾಗಿವೆ.,ಅವನ ನಂಬಿಕೆ ಬಲಿಷ್ಟವಾಗಿದೆ,ಅವನ ನಂಬಿಕೆ ಬಲಿಷ್ಟವಾಗಿಲ್ಲ,0
ಅವನು ಸಾಂಪ್ರದಾಯಿಕ ಉಡುಗೆ ಸೂಟ್ ಧರಿಸಿದ್ದಾನೆ.,ಅವನು ಸಾಂಪ್ರದಾಯಿಕ ಉಡುಗೆ ಧರಿಸಿದ್ದಾನೆ,ಅವನು ಸಾಂಪ್ರದಾಯಿಕ ಉಡುಗೆ ಧರಿಸಿಲ್ಲ,1
ಫುಟ್ಬಾಲ್ ನ ಆಕಾರಚಪ್ಪಟೆಯಾಗಿ ಇದೆ,ಫುಟ್ಬಾಲ್ ಆಕಾರ ದುಂಡಾಗಿ ಇದೆ,ಫುಟ್ಬಾಲ್ ಆಕಾರ ದುಂಡಾಗಿ ಇಲ್ಲ,1
ಅದು ಸೋಪ್ ನಂತೆ ನಯವಾಗಿತ್ತು,ಸೋಪ್ ನಷ್ಟು ನಯವಾಗಿತ್ತು,ಸೋಪ್ ನಷ್ಟು ನಯವಾಗಿಲ್ಲ,0
ಅವರ ಜ್ಞಾನ ಸಮುದ್ರದಷ್ಟು ಆಳವಾಗಿದೆ,ಅವರ ಜ್ಞಾನ ಆಳವಾಗಿದೆ,ಅವರ ಜ್ಞಾನ ಆಳವಾಗಿಲ್ಲ,0
ಈ ಪ್ರಾಣಿಯು ಎಮ್ಮೆಯಂತೆ ವೇಗವಾಗಿದೆ,ಈ ಪ್ರಾಣಿಯು ವೇಗವಾಗಿದೆ,ಈ ಪ್ರಾಣಿಯು ವೇಗವಾಗಿಲ್ಲ,1
ಆ ತಿಂಡಿಯು ಬ್ರೆಡ್ ನಂತೆ ತೆಳುವಾಗಿತ್ತು,ಆ ತಿಂಡಿಯು ತೆಳುವಾಗಿತ್ತು,ಆ ತಿಂಡಿಯು ತೆಳುವಾಗಿಲ್ಲ,0
ಆ ವ್ಯಕ್ತಿ ರಾಜಕಾರಣಿಯಂತೆ ಪ್ರಭಾವಿಯಾಗಿದ್ದರು,ಆ ವ್ಯಕ್ತಿ ಪ್ರಭಾವಿಯಾಗಿದ್ದರು,ಆ ವ್ಯಕ್ತಿ ಪ್ರಭಾವಿಯಾಗಿಲ್ಲ,0
ಸಂಗೀತ ಕಾರ್ಯಕ್ರಮವು ಮತ್ತೆ ಕೇಳಬೇಕೆನಿಸುವಷ್ಟು ಚೆನ್ನಾಗಿತ್ತು,ಸಂಗೀತ ಕಾರ್ಯಕ್ರಮವು ಚೆನ್ನಾಗಿತ್ತು,ಸಂಗೀತ ಕಾರ್ಯಕ್ರಮವು ಚೆನ್ನಾಗಿಲ್ಲ,1
ಈ ವಸ್ತುವೂ ಹೂವಿನಂತೆ ಸುಮಧುರ ವಾಸನೆ ಹೊಂದಿದೆ,ಈ ವಸ್ತುವೂ ಸುಮಧುರ ವಾಸನೆ ಹೊಂದಿದೆ,ಈ ವಸ್ತುವೂ ಸುಮಧುರ ವಾಸನೆ ಹೊಂದಿಲ್ಲ,0
ಅದು ನಕ್ಷತ್ರ ದಂತೆ ಅಪರೂಪ,ಅದು ಅಪರೂಪ,ಅದು ಅಪರೂಪವಲ್ಲ,1
ಆ ಜನರು ಗಾಂಧಿಯಂತೆ ಶಾಂತಿಪ್ರಿಯರು,ಆ ಜನರು ಶಾಂತಿಪ್ರಿಯರು,ಆ ಜನರು ಶಾಂತಿಪ್ರಿಯರಲ್ಲ,0
