ending1	ending2	labels	startphrase	valid	Obj	Vis	Soc	Cul
Dia penakut.	Dia pemberani.	0	Nyalinya seperti anak kecil yang tersesat.	1			1	
Dia penakut.	Dia pemberani.	1	Nyalinya seperti prajurit terdepan di medan perang.	1			1	
Pengetahuannya kurang.	Pengetahuannya luas.	0	Berbicara dengan Kinan seperti bicara dengan balita.	1			1	
Pengetahuannya kurang.	Pengetahuannya luas.	1	Berbicara dengan Kinan seperti mengikuti kuliah kuliah dari dosen ternama.	1			1	
Anak itu tampil dengan malu-malu.	Anak itu tampil dengan percaya diri.	0	Anak itu tampil bak putri malu yang layu.	1	1			
Anak itu tampil dengan malu-malu.	Anak itu tampil dengan percaya diri.	1	Anak itu tampil bak bunga mawar di taman.	1	1			
Suara Sari sangat kencang.	Suara Sari sangat pelan.	0	Suara Sari dapat mengalahkan suara ombak.	1	1			
Suara Sari sangat kencang.	Suara Sari sangat pelan.	1	Suara Sari lenyap terbawa angin.	1	1			
Cara makannya rapi.	Cara makannya berantakan.	0	Cara makannya bagai tamu restoran bintang 5.	1			1	
Cara makannya rapi.	Cara makannya berantakan.	1	Cara makannya bagai anak kecil di toko es krim.	1			1	
Pekerjaan ayah sangat mudah.	Pekerjaan ayah sangat sulit.	0	Pekerjaan ayah semudah membalikkan telapak tangan.	1	1			
Pekerjaan ayah sangat mudah.	Pekerjaan ayah sangat sulit.	1	Pekerjaan ayah semudah memasukkan benang ke dalam jarum.	1	1			
Tasnya besar.	Tasnya kecil.	0	Siswa SD itu membawa tas layaknya orang yang mau kabur dari rumah.	1			1	
Tasnya besar.	Tasnya kecil.	1	Siswa SD itu membawa tas layaknya orang yang akan pergi ke mal.	1			1	
Dia sangat lapar.	Dia sangat kenyang.	0	Dia melahap makanan seolah belum makan tiga hari.	1			1	
Dia sangat lapar.	Dia sangat kenyang.	1	Dia melahap makanan seolah habis menghadiri tiga kondangan.	1			1	1
Dia berjalan dengan lambat.	Dia berjalan dengan cepat.	0	Ia berjalan layaknya siput.	1	1			
Dia berjalan dengan lambat.	Dia berjalan dengan cepat.	1	Ia berjalan layaknya macan.	1	1			
Kehadirannya adalah musibah.	Kehadirannya adalah anugerah.	0	Kehadirannya bagaikan petir di siang bolong.	1			1	
Kehadirannya adalah musibah.	Kehadirannya adalah anugerah.	1	Kehadirannya bagaikan bintang di langit malam.	1		1		
Hidupnya bebas.	Hidupnya terkekang.	0	Dia menjalani hidup bak burung di angkasa.	1			1	
Hidupnya bebas.	Hidupnya terkekang.	1	Dia menjalani hidup bak singa di kebun binatang.	1			1	
Siswa-siswi kelas A berpartisipasi dengan aktif.	Siswa-siswi kelas A berpartisipasi dengan pasif.	0	Situasi kelas A seramai KRL di jam kerja.	1				1
Siswa-siswi kelas A berpartisipasi dengan aktif.	Siswa-siswi kelas A berpartisipasi dengan pasif.	1	Situasi kelas A seramai kuburan di malam hari.	1	1			
Adik ingin memiliki rambut pendek.	Adik ingin memiliki rambut panjang.	0	Adik menginginkan rambut seperti dora.	1				1
Adik ingin memiliki rambut pendek.	Adik ingin memiliki rambut panjang.	1	Adik menginginkan rambut seperti rapunzel.	1				1
Ceritanya panjang.	Ceritanya pendek.	0	Curhatannya sepanjang skripsi mahasiswa kedokteran.	1				1
Ceritanya panjang.	Ceritanya pendek.	1	Curhatannya sepanjang iklan badut di jalanan.	1				1
Tulisannya berantakan.	Tulisannya rapi.	0	Tulisan tangannya bak tulisan dokter.	1	1			
Tulisannya berantakan.	Tulisannya rapi.	1	Tulisan tangannya bak ketikan komputer canggih.	1	1			
Perintah itu mustahil dilakukan.	Perintah itu selalu dilakukan.	0	Memintanya membereskan kamar sama seperti menyuruh kucing terbang.	1	1			
Perintah itu mustahil dilakukan.	Perintah itu selalu dilakukan.	1	Memintanya membereskan kamar sama seperti berbincang dengan google assistant.	1	1			
Dia bekerja dengan cekatan.	Dia bekerja dengan lambat.	0	Dia menyelesaikan pekerjaannya secepat memasak mi instan.	1	1			
Dia bekerja dengan cekatan.	Dia bekerja dengan lambat.	1	Dia menyelesaikan pekerjaannya secepat mengurus paspor yang hilang.	1			1	
Suasana kelas sangat menegangkan.	Suasana kelas sangat bersahabat.	0	Kelas bersama Pak Faisal seperti sedang berada di kandang singa.	1			1	
Suasana kelas sangat menegangkan.	Suasana kelas sangat bersahabat.	1	Kelas bersama Pak Faisal seperti sedang bermain dengan anak tetangga.	1			1	
Orang asing bisa menjadi teman.	Orang asing bisa menjadi musuh.	0	Orang asing yang kau temui sewaktu-waktu bisa menjadi rumah untuk pulang.	1			1	
