startphrase,ending1,ending2,labels,x,y,z
The place is clean like a hospital.,The place is clean,The place is not clean,0,The place,is clean like,a hospital
The place is clean like a fish market.,The place is clean,The place is not clean,1,The place,is clean like,a fish market
The area is as violent as a war land.,The area is full of violence,The area is not full of violence,0,The area,is as violent as,a war land
The area is as violent as the temple itself.,The area is full of violence,The area is not full of violence,1,The area,is as violent as,the temple itself
Their bond is as strong as friends.,Their relationship is strong,Their relationship is not strong,0,Their bond,is as strong as,friends
Their bond is as strong as enemies.,Their relationship is strong,Their relationship is not strong,1,Their bond,is as strong as,enemies
The place is as quiet as a temple.,The place is quiet,The place is not quiet,0,The place,is as quiet as,a temple
The place is as quiet as a traffic jam.,The place is quiet,The place is not quiet,1,The place,is as quiet as,a traffic jam
He is as weak as an old man,He is weak,He is not weak,0,He,is as weak as,an old man
He is as weak as a youth,He is weak,He is not weak,1,He,is as weak as,a youth
He is as strong as a young man.,He is strong,He is not strong,0,He,is as strong as,a young man
He is as strong as an old man.,He is strong,He is not strong,1,He,is as strong as,an old man
It is red in color like blood.,It is red in color,It is not red,0,It,is red in color like,blood
It is red in color like water.,It is red in color,It is not red,1,It,is red in color like,water
Its speed is as slow as a tortoise.,Its speed is very slow,Its speed is not slow,0,Its speed,is as slow as,a tortoise
Its speed is as slow as that of a rabbit.,Its speed is very slow,Its speed is not slow,1,Its speed,is as slow as,that of a rabbit
That thing is as old as the telephone.,That thing is old,That thing is new,0,That thing,is as old as,the telephone
That thing is as old as mobile.,That thing is old,That thing is new,1,That thing,is as old as,mobile
Food is as nutritious as millet.,This food is full of nutrition,This food is not nutritious,0,Food,is as nutritious as,millet
Food is as nutritious as Maggi.,This food is full of nutrition,This food is not nutritious,1,Food,is as nutritious as,Maggi
The area is as wide as a playground.,That area is very vast,The area is not very wide,0,The area,is as wide as,a playground
The area is as wide as a classroom.,That area is very vast,That area is not very wide,1,The area,is as wide as,a classroom
The performance of the players was like that of a champion.,The performance of the players was good,The performance of the players was not good,0,The performance of the players,was like,that of a champion
The performance of the players was like a loser.,The performance of the players was good,The performance of the players was not good,1,The performance of the players,was like,a loser
It is the size of a football.,The size of that thing is big,The size of the object is small,0,It,is the size of,a football
It is about the size of a golf ball.,The size of that thing is big,The size of the object is small,1,It,is about,the size of a golf ball
He is as influential as a king.,He is impressive,He is not impressive,0,He,is as influential as,a king
He is as impressive as a servant.,He is impressive,He is not impressive,1,He,is as impressive as,a servant
He is rich like a merchant.,He is rich,He is not rich,0,He,is rich like,a merchant
He is rich like a farmer.,He is rich,He is not rich,1,He,is rich like,a farmer
That thing is as small as a worm,The size of the object is small,The size of that thing is big,0,That thing,is as small as,a worm
That thing is as small as a bird,The size of the object is small,The size of that thing is big,1,That thing,is as small as,a bird
That habit is as bad as smoking.,That hobby is bad,That hobby is good,0,That habit,is as bad as,smoking
That hobby is as bad as meditation.,That hobby is bad,That hobby is good,1,That hobby,is as bad as,meditation
That animal is as old as a dinosaur.,That animal is old,That animal is not old,0,That animal,is as old as,a dinosaur
That animal is as old as an elephant.,That animal is old,That animal is not old,1,That animal,is as old as,an elephant
It is as necessary as oxygen to breathe.,Oxygen is very necessary for breathing,Oxygen is not very necessary for breathing,0,It,is as necessary as,oxygen to breathe
It is needed as carbon dioxide for respiration.,Oxygen is very necessary for breathing,Oxygen is not very necessary for breathing,1,It,is needed as,carbon dioxide for respiration
It takes as much time as a car to reach that place.,It takes less time to reach that place,It takes more time to reach that place,0,It,takes as much time as,a car to reach that place
It takes about a cycle to reach that place.,It takes less time to reach that place,It takes more time to reach that place,1,It,takes about a cycle to reach,that place
The food was as special as the festive meal.,The food was very special,Food was normal,0,The food,was as special as,the festive meal
The food was as special as the breakfast.,The food was very special,Food was normal,1,The food,was as special as,the breakfast
Its price is as expensive as a plane ticket.,Its price is expensive,Its price is cheap,0,Its price,is as expensive as,a plane ticket
Its price is as expensive as a movie ticket.,Its price is expensive,Its price is cheap,1,Its price,is as expensive as,a movie ticket
His beliefs are as strong as a rock.,His faith is strong,His faith is not strong,0,His beliefs,are as strong as,a rock
His beliefs are as strong as glass.,His faith is strong,His faith is not strong,1,His beliefs,are as strong as,glass
It's as easy as reading.,It's very easy,That's hard,0,It,'s as easy as,reading
It's as easy as coding.,It's very easy,That's hard,1,It,'s,as easy as coding
