startphrase,ending1,ending2,labels
Mahasiswa iku nduweni julukan otak udang,Mahasiswa iku nduweni julukan wong sing bodho,Mahasiswa iku nduweni julukan wong sing pinter,0
Mahasiswa iku nduweni julukan otak encer,Mahasiswa iku nduweni julukan wong sing bodho,Mahasiswa iku nduweni julukan wong sing pinter,1
Pendukunge Pak Rangga dadi bupati kayata busa ing samodra,Pendukunge Pak Rangga dadi bupati Akeh,Pendukunge Pak Rangga dadi bupati sitik,0
Pendukunge Pak Rangga dadi bupati kayata jamaah sholat subuh ing masjid,Pendukunge Pak Rangga dadi bupati Akeh,Pendukunge Pak Rangga dadi bupati sitik,1
Warnane rambute kaya kembang jambu,Warna rambute putih,Warna rambute ireng,0
Warnane rambute kaya areng,Warna rambute putih,Warna rambute ireng,1
Bathuke Icha nyela cendhani,Bathuke Ica Rata,Bathuke Ica amba banget,0
Bathuke Icha nonong,Bathuke Ica Rata,Bathuke Ica amba banget,1
Aldi lan Doni iku sahabat sing wis kaya rante,Aldi lan Doni iku sahabat sing wis kokoh banget kaya rante,Aldi lan Doni iku sahabat sing wis rapuh lan tipis kaya senar,0
Aldi lan Doni iku sahabat sing wis kaya senar,Aldi lan Doni iku sahabat sing wis kokoh banget kaya rante,Aldi lan Doni iku sahabat sing wis rapuh lan tipis kaya senar,1
Enteke dhuwit gajiku umpama ngetutke miline banyu,Enteke dhuwit gajiku boros,Enteke dhuwit gajiku irit,0
Enteke dhuwit gajiku umpama dipendhem nggo mangsa ketelu,Enteke dhuwit gajiku boros,Enteke dhuwit gajiku irit,1
"Winginane aku ketemu Mbak Dewi, rupane kaya cak ning","Winginane aku ketemu Mbak Dewi, wajahe ayu","Winginane aku ketemu Mbak Dewi, wajahe elek",0
"Winginane aku ketemu Mbak Dewi, rupane kaya kuntilanak","Winginane aku ketemu Mbak Dewi, wajahe ayu","Winginane aku ketemu Mbak Dewi, wajahe elek",1
Wong wedok iku kaya polahe semut,Wong wedok iku sregep,Wong wedok iku males,0
Wong wedok iku kaya polahe kebo,Wong wedok iku sregep,Wong wedok iku males,1
