startphrase,ending1,ending2,labels
Mwendo wake ni mithili ya twiga,Mwendo wake ni wa maringo,Mwendo wake si wa maringo,0
Nguo zake ni kama kidonda.,Nguo zake zinanuka vizuri.,Nguo zake zina uvundo.,1
Upele humuota asiye na kucha,Bahati  hukumkuta asiye na uwezo wa kuitumia,Bahati humkuta mwenye uwezo wa kuitumia,0
Maisha ni uwanja wa vita.,Ilikuwa na furaha na kijamii.,Ilikuwa na huzuni na changamoto.,1
Angelina alituangalia kwa macho ya vikombe,Angelina alituangalia kwa macho ya kuvutia,Angelina alituangalia kwa macho ya  kutuchukia,0
Habari za kifo cha mama yake zilikua kama wimbo wa gitaa kwake,Aliiumia sana baada ya kujulishwa kuhusu kifo cha mama yake,Hakuumia sana baada ya kujulishwa kuhusu kifo cha mama yake,1
Yule ni sumu.,Nampenda sana.,Namchukia sana.,1
Alihisi kifua chake kimeganda kama barafu,Mapigo yake ya moyo yalienda kwa kasi mno,Mapingo yake ya moyo yalienda taratibu,1
Usipende kua vuguvugu,Usipende kutokua na msimamo,Usipende kua na msimamo,0
Mahali aliwekwa palikuwa kuzimu.,Mahali aliwekwa palikuwa pazuri.,Mahali aliwekwa palikuwa pabaya.,1
jaji yule amekuwa giza,aliongea kwa uwazi,alificha mambo,1
Jamaa sio fisi,Jamaa ni mlafi,Jamaa si mlafi,1
Mwanafunzi alikuwa kama kupasuka kwa volkano.,Mwanafunzi alikuwa akinong'ona.,Mwanafunzi alikuwa akipiga kelele.,1
Unafaa kuwa bendera kwa malekezo ya wazazi wako,Usiyakaidi maelekezo ya wazazi wako,Unafaa kuyasikiliza maelekezo ya wazazi wako,1
Alikuwa na macho kali jama jongoo tulipoingia,Alitushuku tukiingia na kutuangalia kwa macho kali,Hakutushuku kamwe tulipoingia na vifaa,1
Eneo la benki ni kama mkuu katika ngome lake.,Eneo la benki limelindwa.,Eneo la benki ni dhahiri.,0
chakula kinaonja maganda,ni kitamu,si kitamu,1
Leo nje kuna kelele kama tingtinga,Leo nje kuna kelele sana,Leo nje kuna utulivu mno,0
Alipenda kula chakula na pilipili kama mhindi,Alipenda kula chakula na pilipili,Hakupenda kula chakula na pilipili,0
Mchuuzi huwa usiku wa manane anapowasili,Mchuuzi hupiga kelele anapowasili,Mchuuzi huwa hapigi kelele anapowasili,1
Ilikuwa na spidi ya maji ya mtaro,Ilikuwa taratibu,Ilikuwa fasta,0
Jamaa alitoka baruti,Jamaa alikimbia kwa kasi,Jamaa alizubaa alivyokutana na vibaka,0
baba yake amekuwa mtulivu,ni mkali sana,ni mpole sana,1
gari lile ni tundu la sindano,ni kubwa sana,ni ndogo sana,1
Nilienda kumdai fedha zangu na hakunilitea siasa,Nilienda kumdai fedha zangu lakini bado aliendelea kunizungusha,Nilienda kumdai fedha zangu na akanilipa,1
Alikuja na kikundi cha watoto,Alikuja na watoto wengi,Alikuja na watoto wachache,1
Sauti yake ni kama dhoruba ya radi.,Sauti yake iko chini sana.,Sauti yake iko juu sana.,1
Wabunge ni fisadi kama kasisi,Wabunge wanajulikana kuwa wafisadi sana,Wabunge wengi si wafisadi siku hizi,1
Maneno yake yalikuwa mvua kwa mkulima.,Yake yalikuwa ya faida.,Yake yalikuwa ya hasara.,0
Majengo yale ni safu ya mwanga.,Majengo yale ni ya kisasa.,Majengo yale ni ya zamani.,0
