ending1 (string),ending2 (string),labels,startphrase (string),valid,category,obj,vis,soc,cul
Picha hii ni halisi.,Picha hii si halisi.,0,Picha hii ni nyota.,1,obj,1,0,0,0
Picha hii ni halisi.,Picha hii si halisi.,1,Picha hii ni ndoto.,1,obj,1,0,0,0
Filamu hii ina siri nyingi.,Filamu hii ina uwazi.,0,Filamu hii ni msitu mkubwa.,1,vis,0,1,0,0
Filamu hii ina siri nyingi.,Filamu hii ina uwazi.,1,Filamu hii ni kitabu wazi.,1,vis,0,1,0,0
Anaimba vizuri sana.,Anaimba vibaya sana.,0,Msichana huyo ni malaika anapoimba.,1,soc,0,0,1,0
Anaimba vizuri sana.,Anaimba vibaya sana.,1,Msichana huyo ni treni inayotoka kwenye reli anapoimba.,1,soc,0,0,1,0
Mradi huu ni baraka.,Mradi huu ni janga.,0,Mradi huu ni kama mvua iliyosubiriwa kwa muda mrefu.,1,obj,1,0,0,0
Mradi huu ni baraka.,Mradi huu ni janga.,1,Mradi huu ni kama jinamizi.,1,obj,1,0,0,0
Maneno yake yanaponya.,Maneno yake yanaangamiza.,0,Maneno yake ni dawa.,1,soc,0,0,1,0
Maneno yake yanaponya.,Maneno yake yanaangamiza.,1,Maneno yake ni sumu.,1,soc,0,0,1,0
Rafiki yangu anaongea sana.,Rafiki yangu yuko kimya sana.,0,Rafiki yangu ni chiruki.,1,obj,1,0,0,0
Rafiki yangu anaongea sana.,Rafiki yangu yuko kimya sana.,1,Rafiki yangu ni maji mtungini.,1,obj,1,0,0,0
Nduguye ni mkarimu sana.,Nduguye ni mbinafsi sana.,0,Nduguye ni msamaria mwema.,1,obj,1,0,0,0
Nduguye ni mkarimu sana.,Nduguye ni mbinafsi sana.,1,Nduguye ni mbweha.,1,obj,1,0,0,0
Mgeni alitarajiwa kuja.,Mgeni alikuja ghafla.,0,Mgeni huyo ni kama jua la kutua.,1,obj,1,0,0,0
Mgeni alitarajiwa kuja.,Mgeni alikuja ghafla.,1,Mgeni huyo ni kama ajali.,1,obj,1,0,0,0
Yeye ni mwenye fadhili.,Yeye ni mkatili.,0,Mwalimu wangu ana moyo wa dhahabu.,1,soc,0,0,1,0
Yeye ni mwenye fadhili.,Yeye ni mkatili.,1,Mwalimu wangu ana moyo wa jiwe.,1,soc,0,0,1,0
Nyumbani kuna uhuru.,Nyumbani hakuna uhuru.,0,Nyumbani kwetu ni ndege aliye huru.,1,soc,0,0,1,0
Nyumbani kuna uhuru.,Nyumbani hakuna uhuru.,1,Nyumbani kwetu ni jela.,1,soc,0,0,1,0
Maneno yake ni matamu.,Maneno yake ni machungu.,0,Maneno yake huwa asali kila anapozungumza.,1,soc,0,0,1,0
Maneno yake ni matamu.,Maneno yake ni machungu.,1,Maneno yake huwa shubiri kila anapozungumza.,1,soc,0,0,1,0
Sauti yake iko chini sana. ,Sauti yake iko juu sana.,0,Sauti yake ni kama kunong'ona.,1,obj,1,0,0,0
Sauti yake iko chini sana. ,Sauti yake iko juu sana.,1,Sauti yake ni kama dhoruba ya radi.,1,obj,1,0,0,0
Wimbo huu ni wa kawaida.,Wimbo huu ni nadra.,0,Wimbo huu ni kama umaskini.,1,soc,0,0,1,0
Wimbo huu ni wa kawaida.,Wimbo huu ni nadra.,1,Wimbo huu ni kama waradi ya samawati,1,soc,0,0,1,0
Mwanariadha yule ana mbio sana.,Mwanariadha yule anakimbia polepole sana.,0,Mwanariadha yule ni duma.,1,obj,1,0,0,0
Mwanariadha yule ana mbio sana.,Mwanariadha yule anakimbia polepole sana.,1,Mwanariadha yule ni kobe,1,obj,1,0,0,0
Chakula ni baridi sana.,Chakula ni moto sana.,0,Chakula kilikuwa barafu.,1,obj,1,0,0,0
Chakula ni baridi sana. ,Chakula ni moto sana.,1,Chakula kilikuwa kuzimu.,1,obj,1,0,0,0
Mchezaji huyu ni mrefu.,Mchezajii huyu ni mfupi.,0,Mchezaji huyu ni twiga.,1,obj,1,0,0,0
Mchezaji huyu ni mrefu.,Mchezajii huyu ni mfupi.,1,Mchezaji huyo ni nyundo.,1,obj,1,0,0,0
Jana alikuwa na furaha.,Jana alikuwa na huzuni.,0,Jana alikuwa mfalme.,1,soc,0,0,1,0
Jana alikuwa na furaha.,Jana alikuwa na huzuni.,1,Jana alikuwa mboni ya macho ya huzuni nyuma ya sanda.,1,soc,0,0,1,0
Safari hiyo ilikuwa rahisi sana.,Safari hiyo ilikuwa ngumu sana.,0,Safari ilikuwa ni matembezi katika hifadhi.,1,soc,0,0,1,0
Safari hiyo ilikuwa rahisi sana.,Safari hiyo ilikuwa ngumu sana.,1,Safari ilikuwa ni uzito kwenye mabega yangu.,1,soc,0,0,1,0
Yule ni mkweli.,Yule ni mwongo.,0,Yule ni mkweli kama injili.,1,soc,0,0,1,0
Yule ni mkweli.,Yule ni mwongo.,1,Yule ni mkweli kama mwanasiasa wakati wa kampeni.,1,soc,0,0,1,0
Wimbo huu unanifanya nichangamke. ,Wimbo huu unachosha.,0,Wimbo huu ni mwanga wa jua.,1,soc,0,0,1,0
Wimbo huu unanifanya nichangamke.,Wimbo huu unachosha.,1,Wimbo huu ni kama kuangalia rangi ikikauka.,1,soc,0,0,1,0
Mtoto wake ni mtiifu.,Mtoto wake ni mkaidi.,0,Mtoto wake ni Musa.,1,obj,1,0,0,0
Mtoto wake ni mtiifu.,Mtoto wake ni mkaidi.,1,Mtoto wake ni Adamu na Eva.,1,obj,1,0,0,0
Yeye ni jasiri.,Yeye ni mwoga.,0,Ana moyo wa simba.,1,obj,1,0,0,0
Yeye ni jasiri.,Yeye ni mwoga.,1,Ana moyo wa kuku.,1,obj,1,0,0,0
Kitabu hiki ni kizuri. ,Kitabu hiki ni kibaya.,0,Kitabu hiki ni dhahabu.,1,obj,1,0,0,0
Kitabu hiki ni kizuri. ,Kitabu hiki ni kibaya.,1,Kitabu hiki ni yai bovu.,1,obj,1,0,0,0
Yeye ni tajiri kupindukia.,Yeye ni maskini.,0,Rafiki yangu ni mfalme Solomoni.,1,obj,1,0,0,0
Yeye ni tajiri kupindukia.,Yeye ni maskini.,1,Rafiki yangu ni panya wa kanisa.,1,obj,1,0,0,0
Mtihani ilikuwa rahisi.,Mtihani ilikuwa ngumu.,0,Swali ya hesabu katika mtihani ilikuwa mboga.,1,soc,0,0,1,0
Mtihani ilikuwa rahisi.,Mtihani ilikuwa ngumu.,1,Swali ya hesabu katika mtihani ilikuwa mawe.,1,soc,0,0,1,0
Panga hii ni kali.,Panga hii ni butu.,0,Panga hii ni wembe.,1,obj,1,0,0,0
Panga hii ni kali.,Panga hii ni butu.,1,Panga hii ni sehemu ya nyuma ya kisu.,1,obj,1,0,0,0
Upendo wao una umoja na amani. ,Upendo wao una utengano na vita.,0,Upendo wao ulikuwa divai nzuri.,1,soc,0,0,1,0
Upendo wao una umoja na amani. ,Upendo wao una utengano na vita.,1,Upendo wao ulikuwa uwanja wa vita.,1,soc,0,0,1,0
Pesa hufurahisha.,Pesa huleta huzuni.,0,Pesa ni sabuni ya roho.,1,obj,1,0,0,0
