startphrase,ending1,ending2,labels
Sapopoe si eta kawas nu diudag ku rentenir,Sapopoe si eta seueur emutan,Sapopoe si eta euweuh pagawean.,0
Dina éta balapan manehna jiga kuda hideung.,Dina éta balapan manehna jiga idola,Dina éta balapan manehna jiga jalmi nu teu diperhitungkeun.,1
Pernikahan mah ti jaman baheula gé asaan pasti aya anu siga batré hp urut batur.,Pernikahan mah aya nu awét,Pernikahan mah aya nu teu awét.,1
"lamun aya masalah, hidup teh karasa keur jalan tol.","lamun aya masalah, hidup teh karasa keurteu lancar","lamun aya masalah, hidup teh karasa keur mulus.",1
Bumi na siga sarang na cucunguk.,Bumi na beresih pisan,Bumi na buladig.,1
Ngadangu carita anjeun mah kawas ngimpi labuh ka gawir,Ngadangu carita anjeun mah ngareuwaskeun,Ngadangu carita anjeun mah nyenengkeun.,0
ceuk ema jadi jalmi teh kedah sing someah hade ka semah,ceuk ema jadi jalmi teh kedah ramah,ceuk ema jadi jalmi teh kedah judes.,0
"Di kelas, manehna murid anu beurat sirah.","Di kelas, manehna murid anu pinter","Di kelas, manehna murid anu bodo.",1
jadi gadis balik teh tong pas datang panonpoe,jadi gadis balik teh tong pas datang isuk,jadi gadis balik teh tong pas datang peuting.,0
Buku sakola ayeuna sakandeul ensiklopedia dunia.,Buku sakola ayeuna ipis,Buku sakola ayeuna kandeul.,1
