startphrase,ending1,ending2,labels
Mwendo wake ni mithili ya twiga,Mwendo wake ni wa maringo,Mwendo wake si wa maringo,0
Mwendo wake ni wa bata,Mwendo wake ni wa maringo,Mwendo wake si wa maringo,1
Yule ni mboni ya jicho langu.,Nampenda sana.,Namchukia sana.,0
Nguo zake ni kama kidonda.,Nguo zake zinanuka vizuri.,Nguo zake zina uvundo.,1
Upele humuota asiye na kucha,Bahati  hukumkuta asiye na uwezo wa kuitumia,Bahati humkuta mwenye uwezo wa kuitumia,0
Jasho humtoka mwenye mwili,Bahati  hukumkuta asiye na uwezo wa kuitumia,Bahati humkuta mwenye uwezo wa kuitumia,1
Wao ni mbwa.,Wao ni waaminifu.,Wao ni wasaliti.,0
Maisha ni uwanja wa vita.,Ilikuwa na furaha na kijamii.,Ilikuwa na huzuni na changamoto.,1
Angelina alituangalia kwa macho ya vikombe,Angelina alituangalia kwa macho ya kuvutia,Angelina alituangalia kwa macho ya  kutuchukia,0
Angelina alitangalia kwa macho ya chura,Angelina alituangalia kwa macho ya kuvutia,Angelina alituangalia kwa macho ya  kutuchukia,1
Msanii ni kioo cha jamii,Afanyayo msanii hutokana na jamii inayomzunguka,Afanyayo msanii hayatokani na jamii inayomzunguka,0
Habari za kifo cha mama yake zilikua kama wimbo wa gitaa kwake,Aliiumia sana baada ya kujulishwa kuhusu kifo cha mama yake,Hakuumia sana baada ya kujulishwa kuhusu kifo cha mama yake,1
