startphrase,ending1,ending2,labels
Àyìnlá fá Àjàlá lórí,Àyìnlá yan Àjàlá jẹ,Àyìnlá ṣe òtítọ́ sí Àjàlá,1
Àyì̀nlá dá Àjàlá lọ́lá,Àyìnlá yan Àjàlá jẹ,Àyìnlá ṣe òtítọ́ sí Àjàlá,0
"Àkókò ń fà bí i ìgbín, a ò sí lè dúró de ẹnì kankan",Kò sí àkókò,Ọ̀pọ̀ àkòkò ló wà,1
Àrèó ti wẹ̀ yán kànhìnkàhìn,Àrèó kò ní ẹ̀sùn kankan lọ́rùn,Àrèó ní èsùn púpọ̀ lọ́rùn,0
Ìmọ̀ Bọ́lájí kò tí ì kún nípa iṣẹ́ igbá fínfín,Bọ́lájí mọ iṣẹ́ igbá fínfín dáadáa,Ìmọ̀ Bọ́lájí kò ì tó nípa igbá fínfín,1
Omi gàrí tí mo mu lánàá kan bí i omi ògì,Omi gàrí náà kan gan,Omi gàrí náà ta lẹ́nu,0
Omi gàrí tí mo mu lánàá korò bí i àgbo,Omi gàrí náà kan gan,Omi gàrí náà ta lẹ́nu,1
Ẹ wo bí Jíbíkẹ̀ẹ́ ṣe ń ṣe ìbàdí rẹ̀ fún àwọn ọkùnrin bí i ọmọrí odó tí wọ́n yí kiri,Jíbíkẹ̀ẹ́ mọ bí wọ́n ṣé ń yí ìbàdí fún àwọn ọkùnrin,Ìbàdí Jíbíkẹ̀é ti gan,0
Ìranù ni Jíbíkẹ̀ẹ́ ṣe pẹ̀lú àwọn ọkùnrin,Jíbíkẹ̀ẹ́ mọ bí wọ́n ṣé ń yí ìbàdí fún àwọn ọkùnrin,Ìbàdí Jíbíkẹ̀é ti gan,1
"Lẹ́yìn iṣẹ́ ìjọba ti Àlàkẹ́ ń ṣe, ó tún wá nǹkan mìíràn fi pawọ́dà",Àlàkẹ́ ṣiṣẹ́ mìíràn lẹ́yìn iṣẹ́ ìjọba,Àlàkẹ́ ṣiṣẹ́ tó pọ̀ lánàá,0
Èmi pàápàá gan tí i jẹun yó bátákú,"Ebi ṣì ń pamí, mo ò tí ì yó",Inú mi ti kún bákán,0
Adé ń pariwo bí i eni tí ó sù lọ fọnfọn,Adé ń pariwo gan,Adé kò pariwo rárá,0
Ike omi ọgọ́rùn-ún ni Àdìsá pọn kó tó lọ sí ilé ìwé láàárọ̀ yìí,Àdìsá pọn omi púpọ̀,Omi díẹ̀ ni Àdìsá pọn,0
Ike omi kan ṣoṣo ni Àdìsá pọn kó tó lọ sí ilé ìwé láàárọ̀ yìí,Àdìsá pọn omi púpọ̀,Omi díẹ̀ ni Àdìsá pọn,1
Olùdíje náà sáré bí i atẹ́gùn,Olùdíje mọ eré sá gan,Olùdíje náà kò sáré ba ṣe fẹ́,0
Olùdíje náà sáré bí i ìgín,Olùdíje mọ eré sá gan,Olùdíje náà kò sáré ba ṣe fẹ́,1
Àpò náà wúwo bí i àpo tó kún fún òkúta ńlá,Àpò náà wúwo gan,Àpò náà fuyẹ́,0
Àpò náà kò wúwo rárá,Àpò náà wúwo gan,Àpò náà fuyẹ́,1
Àìná háwọ́,Àìná ní ahun,Àìná máa ń fitọrọ,1
Àì̀ná yawọ́,Àìná ní ahun,Àìná máa ń fitọrọ,0
Tanitolúwa ò lè fi gbọ̀ọ̀rọ̀ jẹkà níbi ká ṣètò ìlú,Tanitolúwa jẹ́ ẹni tó dángájíá níbi ìṣètò ìlú,Tanitolúwa jẹ́ aláìmọ̀kan níbi ìṣètò ìlú,1
Àgbá òfìfo ni orí Ẹniọlá àti àwọn ọ̀rẹ́ rẹ̀,Ẹniọlá àti àwọn ọ̀rẹ́ rẹ̀ kọ̀ mọ ǹkankan,Ẹniọlá àti àwọn ọ̀rẹ́ rẹ̀ mọ ìwé gan,1
Ètè rẹ̀ dúdú bí i ètè ẹni tó ń fa igbó,Ètè rẹ̀ ti dúdú jù,Ètè rẹ̀ pupa,1
Eéṣe tí ò ń fẹ̀mí ṣe?,Kí ló dé tí o dúró láìṣe nǹkankan?,Kí ló dé tí ò ń ṣiṣẹ́ láìdáwọ́ dúró?,0
Èéṣe tí o káwọ́ rọ̀?,Kí ló dé tí o dúró láìṣe nǹkankan?,Kí ló dé tí ò ń ṣiṣẹ́ láìdáwọ́ dúró?,1
Fogun ẹ̀yìn jàni,Jẹ́ kí ohun burúkú ó padà wá ṣẹlẹ̀ síni,Jẹ́ kí ohun rere ó padà wá ṣẹlẹ̀ síni,1
Ilé ẹ̀kọ́ fásitì ti pàṣẹ lọ rọọ́kún sílé fún olùkọ́ wa tó fipá bá akẹ́kọ̀ọ́ lò pọ̀,Wọ́n ti dá olùkọ́ dúró lẹ́nu iṣẹ́,Wọ́ fún olùkọ́ wa ní ìgbéga lẹ́nu iṣẹ́,1
Ó ti diwọ́disẹ̀ sínú,Ó ti lóyún,Ó ti bímọ,0
Gbádébọ̀ fẹ́ràn kí ó máa ṣàyàngbàǹgbà sí nǹkan,Gbádébọ̀ fẹ́ràn kí ó máa kọ́kọ́ ṣáájú nínú àwọn nǹkan,Gbádébọ̀ fẹ́ràn kí ó máa wà lẹ́yìn nínú àwọn nǹkan,1
Mo ti ń bá ọ̀tá sùn,Mo ti ní ìṣẹ́gun lórí àwọn ọ̀tá mi,Mo pàdánù sí ọwọ́ àwọn ọ̀tá mi,1
