String 1,String 2,Start Phrase
,,
ಆ ಸ್ಥಳವು ಶುಚಿಯಾಗಿದೆ,ಆ ಸ್ಥಳವು ಶುಚಿಯಾಗಿಲ್ಲ,      ಆ ಸ್ಥಳವು (ಆಸ್ಪತ್ರೆ/ಮೀನಿನ ಮಾರುಕಟ್ಟೆ) ರೀತಿ ಶುಚಿಯಾಗಿದೆ.
ಆ ಪ್ರದೇಶ ಹಿಂಸೆಯಿಂದ ಕೂಡಿದೆ,ಆ ಪ್ರದೇಶ ಹಿಂಸೆಯಿಂದ ಕೂಡಿಲ್ಲ,      ಆ ಪ್ರದೇಶ (ಯುದ್ಧ ಭೂಮಿ/ದೇವಸ್ಥಾನ ) ದಷ್ಟು ಹಿಂಸೆಯಿಂದ ಕೂಡಿದೆ.
ಅವರ ಬಾಂಧವ್ಯ ಗಟ್ಟಿ ಇದೆ ,ಅವರ ಬಾಂಧವ್ಯ ಗಟ್ಟಿ ಇಲ್ಲ,ಅವರ ಬಾಂಧವ್ಯ (ಸ್ನೇಹಿತರು/ಶತ್ರುಗಳು)ಹಾಗೆ ಗಟ್ಟಿಯಿದೆ.
ಆ ಜಾಗವು ನಿಶಬ್ದವಾಗಿದೆ ,ಆ ಜಾಗವು ನಿಶಬ್ದವಾಗಿಲ್ಲ,      ಆ ಜಾಗವು (ದೇವಸ್ಥಾನ/ಟ್ರಾಫಿಕ್ ಜಾಮ್ ) ನಷ್ಟು ನಿಶ್ಯಬ್ದವಾಗಿದೆ.
ಅವನು ದುರ್ಬಲನಾಗಿದ್ದಾನೆ ,ಅವನು ದುರ್ಬಲನಾಗಿಲ್ಲ,ಅವನು (ವೃದ್ಧ/ಯುವಕ) ನಷ್ಟು ದುರ್ಬಲನಿದ್ದಾನೆ
ಅವನು ಬಲಿಷ್ಠನಿದ್ದಾನೆ ,ಅವನು ಬಲಿಷ್ಠನಿಲ್ಲ,    ಅವನು (ಯುವಕ/ವೃದ್ಧ) ನಷ್ಟು ಬಲಿಷ್ಠನಿದ್ದಾನೆ.
ಅದು ಕೆಂಪು ಬಣ್ಣ ಹೊಂದಿದೆ,ಅದು ಕೆಂಪು ಬಣ್ಣ ಹೊಂದಿಲ್ಲ,     ಅದು (ರಕ್ತದಂತೆ/ನೀರಿನಂತೆ) ಕೆಂಪು ಬಣ್ಣ ಹೊಂದಿದೆ.
ಅದರ ವೇಗ ತುಂಬಾ ನಿಧಾನ ,ಅದರ ವೇಗ ನಿಧಾನವಾಗಿಲ್ಲ,     ಅದರ ವೇಗ (ಆಮೆ/ಮೊಲ) ದಷ್ಟು ನಿಧಾನವಾಗಿದೆ.
ಆ ವಸ್ತು ಹಳೆಯದು ,ಆ ವಸ್ತು ಹೊಸದಾಗಿದೆ,      ಆ ವಸ್ತು (ಟೆಲಿಫೋನ್/ಮೊಬೈಲ್)ನಷ್ಟು ಹಳೆಯದು.
ಈ ಆಹಾರವು ಪೌಷ್ಟಿಕತೆಯಿಂದ ಕೂಡಿದೆ ,ಈ ಆಹಾರವು ಪೌಷ್ಟಿಕತೆಯಿಂದ ಕೂಡಿಲ್ಲ,    ಆಹಾರವು (ರಾಗಿ/ಮ್ಯಾಗಿ ) ಯಂತೆ ಪೌಷ್ಟಿಕತೆ ಹೊಂದಿದೆ.
ಆ ಪ್ರದೇಶ ತುಂಬಾ ವಿಶಾಲವಾಗಿದೆ ,ಆ ಪ್ರದೇಶ ತುಂಬಾ ವಿಶಾಲವಾಗಿಲ್ಲ,   ಆ ಪ್ರದೇಶ (ಆಟದ ಮೈದಾನ/ಕ್ಲಾಸ್ ರೂಮ್) ನಂತೆ ವಿಶಾಲವಾಗಿದೆ.
ಆಟಗಾರರ ಪ್ರದರ್ಶನ ಚೆನ್ನಾಗಿತ್ತು , ಆಟಗಾರರ ಪ್ರದರ್ಶನ ಚೆನ್ನಾಗಿರಲಿಲ್ಲ ,   ಆಟಗಾರರ ಪ್ರದರ್ಶನ  (ಚಾಂಪಿಯನ್/ಸೋತವರು) ರಂತೆ ಇತ್ತು.
ಆ ವಸ್ತುವಿನ ಗಾತ್ರ ದೊಡ್ಡದು ,ಆ ವಸ್ತುವಿನ ಗಾತ್ರ ಸಣ್ಣದು ,           ಅದು (ಫುಟ್ಬಾಲ್/ಗಾಲ್ಫ್ ಬಾಲ್) ನಷ್ಟು ಗಾತ್ರ ಹೊಂದಿದೆ.
ಅವನು ಪ್ರಭಾವಶಾಲಿ,ಅವನು ಪ್ರಭಾವಶಾಲಿ ಅಲ್ಲ , ಅವನು (ರಾಜ/ಸೇವಕ) ನಷ್ಟು ಪ್ರಭಾವಶಾಲಿ.
ಅವನು ಶ್ರೀಮಂತ ,ಅವನು ಶ್ರೀಮಂತನಲ್ಲ ,     ಅವನು (ವ್ಯಾಪಾರಿ/ರೈತ ) ಹಾಗೆ ಶ್ರೀಮಂತ.
ಆ ವಸ್ತುವಿನ ಗಾತ್ರ ಸಣ್ಣದು ,ಆ ವಸ್ತುವಿನ ಗಾತ್ರ ದೊಡ್ಡದು , ಆ ವಸ್ತು (ಹುಳು/ಪಕ್ಷಿ ) ಥರ ಸಣ್ಣದಿದೆ
ಆ ಹವ್ಯಾಸ ಕೆಟ್ಟದ್ದು, ಆ ಹವ್ಯಾಸ ಒಳ್ಳೆಯದು , ಆ ಹವ್ಯಾಸ (ಧೂಮಪಾನ/ಧ್ಯಾನ ) ದಂತೆ ಕೆಟ್ಟದ್ದು.    
ಆ ಪ್ರಾಣಿ ಹಳೆಯದು ,ಆ ಪ್ರಾಣಿ ಹಳೆಯದೇನಲ್ಲ , ಆ ಪ್ರಾಣಿ (ಡೈನೋಸರ್/ಆನೆ ) ಯಷ್ಟು ಹಳೆಯದು.
ಉಸಿರಾಡಲು ಆಕ್ಸಿಜನ್ ತುಂಬಾ ಅಗತ್ಯ ,ಉಸಿರಾಡಲು ಆಕ್ಸಿಜನ್ ತುಂಬಾ ಅಗತ್ಯವೇನಲ್ಲ ,     ಉಸಿರಾಡಲು (ಆಕ್ಸಿಜನ್ /ಕಾರ್ಬನ್ ಡೈಆಕ್ಸೈಡ್ ) ನಂತೆ ಅಗತ್ಯವಾಗಿದೆ. 
ಆ ಸ್ಥಳ ತಲುಪಲು ಕಡಿಮೆ ಸಮಯ ಬೇಕು, ಆ ಸ್ಥಳ ತಲುಪಲು ಹೆಚ್ಚು ಸಮಯ ಬೇಕು,   ಆ ಸ್ಥಳ ತಲುಪಲು (ಕಾರ್/ಸೈಕಲ್ )ನಷ್ಟು ಸಮಯ ತೆಗೆದುಕೊಳ್ಳುತ್ತದೆ.
ಆಹಾರವು ತುಂಬಾ ವಿಶೇಷವಾಗಿತ್ತು ,ಆಹಾರವು ಸಾಮಾನ್ಯವಾಗಿತ್ತು, ಆಹಾರವು (ಹಬ್ಬದ ಊಟ /ಬ್ರೇಕ್ ಫಾಸ್ಟ್ )ನಷ್ಟು ವಿಶೇಷವಾಗಿತ್ತು .
ಅದರ ಬೆಲೆ ದುಬಾರಿ , ಅದರ ಬೆಲೆ ಅಗ್ಗ ,   ಅದರ ಬೆಲೆ  (ವಿಮಾನದ ಟಿಕೆಟ್/ಸಿನಿಮಾ ಟಿಕೆಟ್ ) ನಷ್ಟು ದುಬಾರಿ.
